% N density lambda LLtest TP FP
100 0.14 40.000000  0.000000 0.408369 0.243364
100 0.14 30.000000  0.000000 0.440115 0.262391
100 0.14 20.000000  0.000000 0.477633 0.296688
100 0.14 10.000000  0.000000 0.578644 0.350482
100 0.14 5.000000  0.000000 0.653680 0.401691
100 0.14 1.000000  0.000000 0.741703 0.503406
100 0.13 500.000000  0.000000 0.146264 0.081231
100 0.13 450.000000  0.000000 0.158983 0.088405
100 0.13 400.000000  0.000000 0.173291 0.094423
100 0.13 350.000000  0.000000 0.187599 0.101134
100 0.13 300.000000  0.000000 0.193959 0.107383
100 0.13 250.000000  0.000000 0.208267 0.117565
100 0.13 200.000000  0.000000 0.225755 0.129368
100 0.13 150.000000  0.000000 0.268680 0.148114
100 0.13 100.000000  0.000000 0.325914 0.173571
100 0.13 50.000000  0.000000 0.443561 0.219625
100 0.13 40.000000  0.000000 0.470588 0.233279
100 0.13 30.000000  0.000000 0.511924 0.253876
100 0.13 20.000000  0.000000 0.588235 0.289979
100 0.13 10.000000  0.000000 0.689984 0.358713
100 0.13 5.000000  0.000000 0.759936 0.414719
100 0.13 1.000000  0.000000 0.850556 0.526267
100 0.14 500.000000  0.000000 0.136024 0.101378
100 0.14 450.000000  0.000000 0.164425 0.120533
100 0.14 400.000000  0.000000 0.170404 0.127774
100 0.14 350.000000  0.000000 0.182362 0.135249
100 0.14 300.000000  0.000000 0.198804 0.141322
100 0.14 250.000000  0.000000 0.219731 0.148096
100 0.14 200.000000  0.000000 0.228700 0.155805
100 0.14 150.000000  0.000000 0.242152 0.170521
100 0.14 100.000000  0.000000 0.267564 0.194114
100 0.14 50.000000  0.000000 0.322870 0.232422
100 0.14 40.000000  0.000000 0.334828 0.241065
100 0.14 30.000000  0.000000 0.345291 0.250876
100 0.14 20.000000  0.000000 0.370703 0.266760
100 0.14 10.000000  0.000000 0.399103 0.283111
100 0.14 5.000000  0.000000 0.411061 0.295025
100 0.14 1.000000  0.000000 0.434978 0.312077
200 0.12 500.000000  0.000000 0.236542 0.123357
200 0.12 450.000000  0.000000 0.272431 0.139958
200 0.12 400.000000  0.000000 0.288744 0.149412
200 0.12 350.000000  0.000000 0.303426 0.160018
200 0.12 300.000000  0.000000 0.329527 0.170625
200 0.12 250.000000  0.000000 0.352365 0.185612
