% N density lambda LLtest TP FP
50 0.14 500.000000   0.000000 0.090131 0.062361 
50 0.14 450.000000   0.000000 0.109941 0.070499 
50 0.14 400.000000   0.000000 0.119272 0.078685 
50 0.14 350.000000   0.000000 0.126963 0.087005 
50 0.14 300.000000   0.000000 0.141468 0.096026 
50 0.14 250.000000   0.000000 0.158913 0.104994 
50 0.14 200.000000   0.000000 0.182346 0.116532 
50 0.14 150.000000   0.000000 0.205781 0.130996 
50 0.14 100.000000   0.000000 0.239978 0.152618 
50 0.14 50.000000   0.000000 0.304282 0.189059 
50 0.14 40.000000   0.000000 0.317149 0.199521 
50 0.14 30.000000   0.000000 0.338011 0.214153 
50 0.14 20.000000   0.000000 0.373937 0.234604 
50 0.14 10.000000   0.000000 0.424441 0.267525 
50 0.14 5.000000   0.000000 0.470668 0.295833 
50 0.14 1.000000   0.000000 0.530659 0.345731 
50 0.14 0.500000   0.000000 0.541695 0.357457 
50 0.14 0.100000   0.000000 0.551582 0.365130 
50 0.14 0.050000   0.000000 0.552196 0.366012 
50 0.14 0.010000   0.000000 0.553727 0.368953 
100 0.14 500.000000   0.000000 0.140886 0.090547 
100 0.14 450.000000   0.000000 0.151965 0.097529 
100 0.14 400.000000   0.000000 0.163567 0.103612 
100 0.14 350.000000   0.000000 0.176613 0.110393 
100 0.14 300.000000   0.000000 0.190210 0.118757 
100 0.14 250.000000   0.000000 0.205822 0.128987 
100 0.14 200.000000   0.000000 0.227034 0.140982 
100 0.14 150.000000   0.000000 0.250482 0.155883 
100 0.14 100.000000   0.000000 0.292135 0.176150 
100 0.14 50.000000   0.000000 0.351401 0.209973 
100 0.14 40.000000   0.000000 0.370813 0.221279 
100 0.14 30.000000   0.000000 0.392532 0.233643 
100 0.14 20.000000   0.000000 0.420795 0.251358 
100 0.14 10.000000   0.000000 0.469984 0.280835 
100 0.14 5.000000   0.000000 0.505362 0.304969 
100 0.14 1.000000   0.000000 0.534108 0.332701 
100 0.14 0.500000   0.000000 0.537116 0.336477 
100 0.14 0.100000   0.000000 0.542976 0.342661 
100 0.14 0.050000   0.000000 0.543265 0.343413 
100 0.14 0.010000   0.000000 0.544825 0.344709 
200 0.14 500.000000   0.000000 0.199832 0.118191 
200 0.14 450.000000   0.000000 0.210264 0.123675 
200 0.14 400.000000   0.000000 0.218367 0.128873 
200 0.14 350.000000   0.000000 0.230741 0.136991 
200 0.14 300.000000   0.000000 0.244284 0.145204 
200 0.14 250.000000   0.000000 0.258336 0.155324 
200 0.14 200.000000   0.000000 0.280935 0.165770 
200 0.14 150.000000   0.000000 0.307526 0.180865 
200 0.14 100.000000   0.000000 0.339167 0.199548 
200 0.14 50.000000   0.000000 0.400859 0.235903 
200 0.14 40.000000   0.000000 0.417436 0.244356 
200 0.14 30.000000   0.000000 0.437680 0.256395 
200 0.14 20.000000   0.000000 0.464979 0.271473 
200 0.14 10.000000   0.000000 0.500981 0.296774 
200 0.14 5.000000   0.000000 0.517193 0.310950 
200 0.14 1.000000   0.000000 0.542560 0.330549 
200 0.14 0.500000   0.000000 0.547437 0.335373 
200 0.14 0.100000   0.000000 0.549624 0.337424 
200 0.14 0.050000   0.000000 0.549624 0.337424 
200 0.14 0.010000   0.000000 0.549624 0.337424 
500 0.14 500.000000   0.000000 0.272854 0.161520 
500 0.14 450.000000   0.000000 0.280671 0.164445 
500 0.14 400.000000   0.000000 0.288783 0.168022 
500 0.14 350.000000   0.000000 0.303016 0.174385 
500 0.14 300.000000   0.000000 0.317067 0.182974 
500 0.14 250.000000   0.000000 0.335499 0.190544 
500 0.14 200.000000   0.000000 0.357467 0.202672 
500 0.14 150.000000   0.000000 0.383512 0.217498 
500 0.14 100.000000   0.000000 0.413277 0.238543 
500 0.14 50.000000   0.000000 0.465019 0.270477 
500 0.14 40.000000   0.000000 0.477907 0.277632 
500 0.14 30.000000   0.000000 0.491685 0.287591 
500 0.14 20.000000   0.000000 0.510246 0.298370 
500 0.14 10.000000   0.000000 0.529443 0.315438 
500 0.14 5.000000   0.000000 0.539716 0.323535 
500 0.14 1.000000   0.000000 0.549238 0.334851 
500 0.14 0.500000   0.000000 0.549863 0.335500 
500 0.14 0.100000   0.000000 0.551114 0.336056 
500 0.14 0.050000   0.000000 0.551114 0.336056 
500 0.14 0.010000   0.000000 0.552092 0.336194 
1000 0.14 500.000000   0.000000 0.346536 0.196441 
1000 0.14 450.000000   0.000000 0.351782 0.199700 
1000 0.14 400.000000   0.000000 0.360410 0.203927 
1000 0.14 350.000000   0.000000 0.369697 0.208992 
1000 0.14 300.000000   0.000000 0.382914 0.215816 
1000 0.14 250.000000   0.000000 0.396293 0.226126 
1000 0.14 200.000000   0.000000 0.415160 0.237520 
1000 0.14 150.000000   0.000000 0.441045 0.248944 
1000 0.14 100.000000   0.000000 0.470270 0.268223 
1000 0.14 50.000000   0.000000 0.509022 0.293342 
1000 0.14 40.000000   0.000000 0.519817 0.300562 
1000 0.14 30.000000   0.000000 0.526266 0.306650 
1000 0.14 20.000000   0.000000 0.536068 0.314781 
1000 0.14 10.000000   0.000000 0.550064 0.325638 
1000 0.14 5.000000   0.000000 0.557214 0.332340 
1000 0.14 1.000000   0.000000 0.562733 0.339182 
1000 0.14 0.500000   0.000000 0.562733 0.339276 
1000 0.14 0.100000   0.000000 0.565073 0.340684 
1000 0.14 0.050000   0.000000 0.565073 0.340684 
1000 0.14 0.010000   0.000000 0.565073 0.340684 
5000 0.14 500.000000   0.000000 0.508385 0.293382 
5000 0.14 450.000000   0.000000 0.523449 0.300416 
5000 0.14 400.000000   0.000000 0.526489 0.303950 
5000 0.14 350.000000   0.000000 0.536254 0.309067 
5000 0.14 300.000000   0.000000 0.543257 0.313529 
5000 0.14 250.000000   0.000000 0.551217 0.320538 
5000 0.14 200.000000   0.000000 0.562840 0.327362 
5000 0.14 150.000000   0.000000 0.575497 0.337652 
5000 0.14 100.000000   0.000000 0.586526 0.348257 
5000 0.14 50.000000   0.000000 0.602797 0.362073 
5000 0.14 40.000000   0.000000 0.604894 0.364725 
5000 0.14 30.000000   0.000000 0.607367 0.369012 
5000 0.14 20.000000   0.000000 0.609823 0.371909 
5000 0.14 10.000000   0.000000 0.609823 0.373075 
5000 0.14 5.000000   0.000000 0.611063 0.375075 
5000 0.14 1.000000   0.000000 0.611699 0.377258 
5000 0.14 0.500000   0.000000 0.611699 0.377258 
5000 0.14 0.100000   0.000000 0.611699 0.377258 
5000 0.14 0.050000   0.000000 0.611699 0.377258 
5000 0.14 0.010000   0.000000 0.611699 0.377258 
10000 0.14 500.000000   0.000000 0.551660 0.320845 
10000 0.14 450.000000   0.000000 0.571868 0.330350 
10000 0.14 400.000000   0.000000 0.580842 0.334806 
10000 0.14 350.000000   0.000000 0.587314 0.337933 
10000 0.14 300.000000   0.000000 0.595683 0.342717 
10000 0.14 250.000000   0.000000 0.600835 0.347377 
10000 0.14 200.000000   0.000000 0.610211 0.353510 
10000 0.14 150.000000   0.000000 0.615358 0.358443 
10000 0.14 100.000000   0.000000 0.623487 0.366341 
10000 0.14 50.000000   0.000000 0.628902 0.373999 
