% N density lambda LLtest TP FP
50 0.12 500.000000  0.000000 0.109299 0.059027
50 0.12 450.000000  0.000000 0.127243 0.066636
50 0.12 400.000000  0.000000 0.141925 0.076320
50 0.12 350.000000  0.000000 0.151713 0.089002
50 0.12 300.000000  0.000000 0.171289 0.100300
50 0.12 250.000000  0.000000 0.195759 0.112520
50 0.12 200.000000  0.000000 0.231648 0.123818
50 0.12 150.000000  0.000000 0.256117 0.144109
50 0.12 100.000000  0.000000 0.296900 0.168089
50 0.12 50.000000  0.000000 0.375204 0.213050
50 0.12 40.000000  0.000000 0.396411 0.223196
50 0.12 30.000000  0.000000 0.430669 0.243947
50 0.12 20.000000  0.000000 0.469821 0.270463
50 0.12 10.000000  0.000000 0.515498 0.307586
50 0.12 5.000000  0.000000 0.566069 0.339636
50 0.12 1.000000  0.000000 0.646003 0.395435
50 0.12 0.500000  0.000000 0.660685 0.406502
50 0.12 0.100000  0.000000 0.673736 0.412497
50 0.12 0.050000  0.000000 0.673736 0.412497
50 0.12 0.010000  0.000000 0.673736 0.412497
50 0.13 500.000000  0.000000 0.105828 0.083993
50 0.13 450.000000  0.000000 0.138037 0.099581
50 0.13 400.000000  0.000000 0.150307 0.107725
50 0.13 350.000000  0.000000 0.156442 0.116101
50 0.13 300.000000  0.000000 0.168712 0.123081
50 0.13 250.000000  0.000000 0.177914 0.132852
50 0.13 200.000000  0.000000 0.193252 0.144486
50 0.13 150.000000  0.000000 0.217791 0.161238
50 0.13 100.000000  0.000000 0.257669 0.188925
50 0.13 50.000000  0.000000 0.325153 0.224290
50 0.13 40.000000  0.000000 0.329755 0.235691
50 0.13 30.000000  0.000000 0.340491 0.243834
50 0.13 20.000000  0.000000 0.368098 0.260121
50 0.13 10.000000  0.000000 0.412577 0.288506
50 0.13 5.000000  0.000000 0.452454 0.307585
50 0.13 1.000000  0.000000 0.515337 0.353420
50 0.13 0.500000  0.000000 0.521472 0.359237
50 0.13 0.100000  0.000000 0.533742 0.370405
50 0.13 0.050000  0.000000 0.536810 0.373430
50 0.13 0.010000  0.000000 0.536810 0.373430
50 0.14 500.000000  0.000000 0.082251 0.063895
50 0.14 450.000000  0.000000 0.092352 0.069063
50 0.14 400.000000  0.000000 0.098124 0.077754
50 0.14 350.000000  0.000000 0.108225 0.086211
50 0.14 300.000000  0.000000 0.128427 0.097252
50 0.14 250.000000  0.000000 0.144300 0.105473
