% N density b b_old lambda LLtest TP FP
50 0.05 44.403196 44.403196 0.022521 0.000000 0.898438 0.875373
50 0.05 44.122953 44.122953 0.022664 0.000000 0.864865 0.872309
50 0.05 44.453620 44.453620 0.022495 0.000000 0.907336 0.880196
50 0.05 44.374448 44.374448 0.022535 0.000000 0.895349 0.870205
50 0.05 44.537385 44.537385 0.022453 0.000000 0.891051 0.875133
50 0.05 44.355602 44.355602 0.022545 0.000000 0.859375 0.878142
50 0.05 44.110348 44.110348 0.022670 0.000000 0.875969 0.878943
50 0.05 44.525853 44.525853 0.022459 0.000000 0.879845 0.874680
50 0.05 44.188658 44.188658 0.022630 0.000000 0.874016 0.874574
50 0.05 44.273095 44.273095 0.022587 0.000000 0.890625 0.878355
50 0.05 44.514898 44.514898 0.022464 0.000000 0.878906 0.883468
50 0.05 44.416563 44.416563 0.022514 0.000000 0.903475 0.880622
50 0.21 44.132774 44.132774 0.022659 0.000000 0.879310 0.868664
50 0.21 44.033630 44.033630 0.022710 0.000000 0.880611 0.876505
50 0.21 44.345196 44.345196 0.022550 0.000000 0.869856 0.875032
50 0.21 44.273977 44.273977 0.022587 0.000000 0.897313 0.871290
50 0.21 44.641781 44.641781 0.022401 0.000000 0.877512 0.877849
50 0.21 44.402536 44.402536 0.022521 0.000000 0.888782 0.874584
50 0.21 44.591017 44.591017 0.022426 0.000000 0.881844 0.873113
50 0.21 44.094553 44.094553 0.022679 0.000000 0.891532 0.866889
50 0.21 44.744960 44.744960 0.022349 0.000000 0.893780 0.887580
50 0.21 44.283896 44.283896 0.022582 0.000000 0.884762 0.871026
50 0.21 44.363344 44.363344 0.022541 0.000000 0.872605 0.874040
50 0.21 44.460636 44.460636 0.022492 0.000000 0.872970 0.872918
50 0.21 44.256702 44.256702 0.022595 0.000000 0.861244 0.878361
50 0.21 44.669894 44.669894 0.022386 0.000000 0.868522 0.892528
50 0.21 44.181146 44.181146 0.022634 0.000000 0.876555 0.866837
50 0.21 44.545305 44.545305 0.022449 0.000000 0.888782 0.868697
50 0.21 44.175082 44.175082 0.022637 0.000000 0.896254 0.869020
50 0.21 44.599246 44.599246 0.022422 0.000000 0.882017 0.876892
50 0.21 44.317689 44.317689 0.022564 0.000000 0.881340 0.875544
50 0.21 44.154445 44.154445 0.022648 0.000000 0.879048 0.872821
50 0.21 44.439724 44.439724 0.022502 0.000000 0.876437 0.879416
50 0.21 44.431705 44.431705 0.022506 0.000000 0.887297 0.874968
50 0.21 44.120205 44.120205 0.022665 0.000000 0.866986 0.877593
50 0.21 44.219138 44.219138 0.022615 0.000000 0.876200 0.867195
50 0.21 44.311355 44.311355 0.022568 0.000000 0.873684 0.874008
50 0.21 44.278719 44.278719 0.022584 0.000000 0.899329 0.873304
50 0.21 44.551417 44.551417 0.022446 0.000000 0.894332 0.875160
50 0.21 44.102228 44.102228 0.022675 0.000000 0.884872 0.873044
50 0.21 44.461810 44.461810 0.022491 0.000000 0.874641 0.869142
50 0.21 44.390798 44.390798 0.022527 0.000000 0.874286 0.873590
50 0.21 44.638466 44.638466 0.022402 0.000000 0.886015 0.881720
% N density b b_old lambda LLtest TP FP
50 0.05 44.090296 44.090296 0.022681 0.000000 0.880309 0.872735
50 0.05 44.194501 44.194501 0.022627 0.000000 0.856589 0.875959
50 0.05 44.403898 44.403898 0.022521 0.000000 0.871595 0.874281
50 0.05 44.263204 44.263204 0.022592 0.000000 0.886719 0.876864
50 0.05 44.336359 44.336359 0.022555 0.000000 0.852713 0.876812
50 0.05 44.522944 44.522944 0.022460 0.000000 0.845560 0.881262
50 0.05 44.283858 44.283858 0.022582 0.000000 0.891473 0.870631
50 0.05 44.502858 44.502858 0.022470 0.000000 0.863813 0.881100
50 0.05 44.308943 44.308943 0.022569 0.000000 0.847656 0.875586
50 0.05 44.415108 44.415108 0.022515 0.000000 0.895349 0.877451
50 0.05 44.349421 44.349421 0.022548 0.000000 0.888031 0.877851
50 0.05 44.195455 44.195455 0.022627 0.000000 0.883721 0.882566
50 0.05 44.310244 44.310244 0.022568 0.000000 0.887160 0.874920
50 0.05 44.206584 44.206584 0.022621 0.000000 0.894531 0.874947
50 0.05 44.227790 44.227790 0.022610 0.000000 0.864341 0.875746
50 0.05 44.452534 44.452534 0.022496 0.000000 0.907336 0.880196
50 0.05 44.475736 44.475736 0.022484 0.000000 0.852713 0.877664
50 0.05 44.670621 44.670621 0.022386 0.000000 0.883268 0.877051
50 0.05 44.278062 44.278062 0.022585 0.000000 0.921875 0.881764
50 0.05 44.062033 44.062033 0.022695 0.000000 0.879845 0.871057
50 0.05 44.283980 44.283980 0.022582 0.000000 0.876448 0.874867
50 0.05 44.341880 44.341880 0.022552 0.000000 0.906977 0.871483
50 0.05 44.354829 44.354829 0.022545 0.000000 0.883268 0.874707
50 0.05 44.449036 44.449036 0.022498 0.000000 0.886719 0.883681
50 0.05 44.061069 44.061069 0.022696 0.000000 0.868217 0.870418
50 0.21 44.105585 44.105585 0.022673 0.000000 0.877395 0.870712
50 0.21 44.211595 44.211595 0.022619 0.000000 0.886342 0.865232
50 0.21 44.302748 44.302748 0.022572 0.000000 0.900478 0.869398
50 0.21 44.311800 44.311800 0.022567 0.000000 0.895393 0.873593
50 0.21 44.391409 44.391409 0.022527 0.000000 0.890909 0.873496
50 0.21 44.107416 44.107416 0.022672 0.000000 0.890805 0.867127
50 0.21 44.226193 44.226193 0.022611 0.000000 0.884432 0.874456
50 0.21 44.247647 44.247647 0.022600 0.000000 0.865072 0.870679
50 0.21 44.249973 44.249973 0.022599 0.000000 0.892514 0.878710
50 0.21 44.269256 44.269256 0.022589 0.000000 0.896651 0.875032
50 0.21 44.374466 44.374466 0.022535 0.000000 0.883142 0.876600
50 0.21 44.271849 44.271849 0.022588 0.000000 0.886342 0.879324
50 0.21 44.424119 44.424119 0.022510 0.000000 0.868900 0.879641
50 0.21 43.966721 43.966721 0.022744 0.000000 0.863724 0.866428
50 0.21 44.294098 44.294098 0.022576 0.000000 0.893780 0.873239
50 0.21 44.439783 44.439783 0.022502 0.000000 0.886015 0.870456
50 0.21 44.349707 44.349707 0.022548 0.000000 0.876791 0.879580
50 0.21 44.146519 44.146519 0.022652 0.000000 0.880383 0.872983
50 0.21 44.317108 44.317108 0.022565 0.000000 0.894434 0.878966
50 0.21 44.430315 44.430315 0.022507 0.000000 0.894737 0.877081
50 0.21 44.349258 44.349258 0.022548 0.000000 0.869732 0.875064
50 0.21 44.241797 44.241797 0.022603 0.000000 0.882521 0.877274
50 0.21 44.460826 44.460826 0.022492 0.000000 0.888038 0.878361
50 0.21 44.491114 44.491114 0.022476 0.000000 0.879079 0.878454
50 0.21 44.276308 44.276308 0.022585 0.000000 0.884211 0.873239
50 0.31 44.134992 44.134992 0.022658 0.000000 0.872691 0.874199
50 0.31 44.436144 44.436144 0.022504 0.000000 0.886618 0.877949
50 0.31 44.498399 44.498399 0.022473 0.000000 0.868197 0.881752
50 0.31 44.455315 44.455315 0.022494 0.000000 0.867676 0.871466
50 0.31 44.145260 44.145260 0.022652 0.000000 0.884259 0.872891
50 0.31 44.315759 44.315759 0.022565 0.000000 0.885224 0.875073
50 0.31 44.486537 44.486537 0.022479 0.000000 0.879367 0.876493
50 0.31 44.406789 44.406789 0.022519 0.000000 0.878689 0.880584
50 0.31 44.364480 44.364480 0.022541 0.000000 0.892034 0.874964
50 0.31 44.335955 44.335955 0.022555 0.000000 0.863757 0.870273
50 0.31 44.308385 44.308385 0.022569 0.000000 0.889842 0.870122
50 0.31 44.696687 44.696687 0.022373 0.000000 0.889255 0.871832
50 0.31 44.596386 44.596386 0.022423 0.000000 0.876721 0.880000
50 0.31 44.226483 44.226483 0.022611 0.000000 0.886109 0.872049
50 0.31 44.434940 44.434940 0.022505 0.000000 0.891534 0.875800
50 0.31 44.127115 44.127115 0.022662 0.000000 0.879288 0.873034
50 0.31 44.535380 44.535380 0.022454 0.000000 0.869479 0.884358
50 0.31 44.361040 44.361040 0.022542 0.000000 0.887869 0.871533
50 0.31 44.271987 44.271987 0.022588 0.000000 0.868334 0.872049
50 0.31 44.333108 44.333108 0.022557 0.000000 0.870370 0.871437
50 0.31 44.608542 44.608542 0.022417 0.000000 0.876649 0.873908
50 0.31 44.420622 44.420622 0.022512 0.000000 0.872116 0.868045
50 0.31 44.243151 44.243151 0.022602 0.000000 0.875410 0.867445
50 0.31 44.663578 44.663578 0.022390 0.000000 0.870968 0.872923
50 0.31 44.729358 44.729358 0.022357 0.000000 0.868386 0.884817
100 0.05 7.595525 7.595525 0.131656 0.000000 0.930502 0.937540
100 0.05 11.332825 11.332825 0.088239 0.000000 0.965116 0.954604
100 0.05 9.917027 9.917027 0.100837 0.000000 0.953307 0.956531
100 0.05 10.251286 10.251286 0.097549 0.000000 0.949219 0.953345
100 0.05 9.476297 9.476297 0.105526 0.000000 0.937984 0.949915
100 0.05 9.482450 9.482450 0.105458 0.000000 0.953668 0.947133
100 0.05 8.027652 8.027652 0.124569 0.000000 0.949612 0.938619
100 0.05 10.236394 10.236394 0.097691 0.000000 0.964981 0.956531
100 0.05 9.703875 9.703875 0.103052 0.000000 0.960938 0.946527
100 0.05 9.075899 9.075899 0.110182 0.000000 0.953488 0.953964
100 0.05 9.635307 9.635307 0.103785 0.000000 0.957529 0.956086
100 0.05 9.582772 9.582772 0.104354 0.000000 0.961240 0.946292
100 0.05 9.141047 9.141047 0.109397 0.000000 0.945525 0.949286
100 0.05 9.416548 9.416548 0.106196 0.000000 0.964844 0.955262
100 0.05 9.794451 9.794451 0.102099 0.000000 0.972868 0.954177
100 0.05 11.865842 11.865842 0.084276 0.000000 0.957529 0.961629
100 0.05 10.417998 10.417998 0.095988 0.000000 0.945736 0.956095
100 0.05 9.238210 9.238210 0.108246 0.000000 0.968872 0.952056
100 0.05 10.165592 10.165592 0.098371 0.000000 0.949219 0.962505
100 0.05 9.619169 9.619169 0.103959 0.000000 0.957364 0.952259
100 0.05 10.006776 10.006776 0.099932 0.000000 0.961390 0.953528
100 0.05 9.257228 9.257228 0.108024 0.000000 0.949612 0.954604
100 0.05 8.198865 8.198865 0.121968 0.000000 0.964981 0.941615
