% N density lambda LLtest TP FP
50 0.03 500.000000   0.000000 0.025221 0.002908 
50 0.03 450.000000   0.000000 0.031452 0.003622 
50 0.03 400.000000   0.000000 0.039034 0.004579 
50 0.03 350.000000   0.000000 0.049084 0.005724 
50 0.03 300.000000   0.000000 0.060585 0.007159 
50 0.03 250.000000   0.000000 0.076396 0.009248 
50 0.03 200.000000   0.000000 0.102701 0.012085 
50 0.03 150.000000   0.000000 0.137573 0.016025 
50 0.03 100.000000   0.000000 0.191203 0.021677 
50 0.03 50.000000   0.000000 0.306928 0.033593 
50 0.03 40.000000   0.000000 0.358752 0.040419 
50 0.03 30.000000   0.000000 0.424462 0.049708 
50 0.03 20.000000   0.000000 0.545517 0.067085 
50 0.03 10.000000   0.000000 0.691357 0.113978 
50 0.03 5.000000   0.000000 0.807253 0.196760 
50 0.03 1.000000   0.000000 0.927956 0.449146 
100 0.03 500.000000   0.000000 0.077189 0.008519 
100 0.03 450.000000   0.000000 0.092758 0.010197 
100 0.03 400.000000   0.000000 0.103910 0.011771 
100 0.03 350.000000   0.000000 0.118994 0.013644 
100 0.03 300.000000   0.000000 0.137565 0.015607 
100 0.03 250.000000   0.000000 0.164633 0.018290 
100 0.03 200.000000   0.000000 0.193529 0.021667 
100 0.03 150.000000   0.000000 0.242903 0.025947 
100 0.03 100.000000   0.000000 0.317200 0.033286 
100 0.03 50.000000   0.000000 0.473629 0.049796 
100 0.03 40.000000   0.000000 0.570893 0.058654 
100 0.03 30.000000   0.000000 0.656651 0.070468 
100 0.03 20.000000   0.000000 0.722012 0.091023 
100 0.03 10.000000   0.000000 0.854573 0.149462 
100 0.03 5.000000   0.000000 0.932570 0.244133 
100 0.03 1.000000   0.000000 0.979201 0.478791 
200 0.03 500.000000   0.000000 0.162091 0.016702 
200 0.03 450.000000   0.000000 0.179668 0.019018 
200 0.03 400.000000   0.000000 0.200589 0.021265 
200 0.03 350.000000   0.000000 0.220268 0.023610 
200 0.03 300.000000   0.000000 0.244217 0.026280 
200 0.03 250.000000   0.000000 0.280114 0.029616 
200 0.03 200.000000   0.000000 0.320155 0.033826 
200 0.03 150.000000   0.000000 0.385748 0.039660 
200 0.03 100.000000   0.000000 0.477431 0.049267 
200 0.03 50.000000   0.000000 0.700517 0.069323 
200 0.03 40.000000   0.000000 0.743395 0.079465 
200 0.03 30.000000   0.000000 0.793144 0.093720 
200 0.03 20.000000   0.000000 0.866133 0.120227 
200 0.03 10.000000   0.000000 0.949794 0.186999 
200 0.03 5.000000   0.000000 0.977209 0.281917 
200 0.03 1.000000   0.000000 0.992538 0.469275 
500 0.03 500.000000   0.000000 0.315583 0.027972 
500 0.03 450.000000   0.000000 0.355748 0.031626 
500 0.03 400.000000   0.000000 0.385478 0.035108 
500 0.03 350.000000   0.000000 0.402805 0.038216 
500 0.03 300.000000   0.000000 0.416315 0.041553 
500 0.03 250.000000   0.000000 0.478868 0.046909 
500 0.03 200.000000   0.000000 0.633045 0.054360 
500 0.03 150.000000   0.000000 0.692457 0.061873 
500 0.03 100.000000   0.000000 0.749194 0.071730 
500 0.03 50.000000   0.000000 0.887417 0.095726 
500 0.03 40.000000   0.000000 0.925379 0.106638 
500 0.03 30.000000   0.000000 0.954842 0.124244 
500 0.03 20.000000   0.000000 0.976897 0.154677 
500 0.03 10.000000   0.000000 0.993105 0.225201 
500 0.03 5.000000   0.000000 0.995528 0.303135 
500 0.03 1.000000   0.000000 0.997929 0.419695 
1000 0.03 500.000000   0.000000 0.473172 0.038801 
1000 0.03 450.000000   0.000000 0.591566 0.044247 
1000 0.03 400.000000   0.000000 0.648681 0.049797 
1000 0.03 350.000000   0.000000 0.679113 0.054376 
1000 0.03 300.000000   0.000000 0.702854 0.058254 
1000 0.03 250.000000   0.000000 0.723604 0.062735 
1000 0.03 200.000000   0.000000 0.758941 0.068007 
1000 0.03 150.000000   0.000000 0.822716 0.076026 
1000 0.03 100.000000   0.000000 0.894895 0.088430 
1000 0.03 50.000000   0.000000 0.971957 0.113391 
1000 0.03 40.000000   0.000000 0.982387 0.124089 
1000 0.03 30.000000   0.000000 0.990784 0.142245 
1000 0.03 20.000000   0.000000 0.994738 0.173366 
1000 0.03 10.000000   0.000000 0.997341 0.236871 
1000 0.03 5.000000   0.000000 0.998163 0.290776 
1000 0.03 1.000000   0.000000 0.998588 0.363849 
5000 0.03 500.000000   0.000000 0.909011 0.064965 
5000 0.03 450.000000   0.000000 0.928364 0.068364 
5000 0.03 400.000000   0.000000 0.944303 0.072062 
5000 0.03 350.000000   0.000000 0.956396 0.075843 
5000 0.03 300.000000   0.000000 0.968979 0.079839 
5000 0.03 250.000000   0.000000 0.979696 0.084432 
5000 0.03 200.000000   0.000000 0.986846 0.089226 
5000 0.03 150.000000   0.000000 0.993298 0.095818 
5000 0.03 100.000000   0.000000 0.996761 0.106459 
5000 0.03 50.000000   0.000000 0.998026 0.131067 
5000 0.03 40.000000   0.000000 0.998714 0.139718 
5000 0.03 30.000000   0.000000 0.998914 0.152130 
5000 0.03 20.000000   0.000000 0.999115 0.171000 
5000 0.03 10.000000   0.000000 0.999115 0.196114 
5000 0.03 5.000000   0.000000 0.999115 0.213736 
5000 0.03 1.000000   0.000000 0.999115 0.228985 
10000 0.03 500.000000   0.000000 0.984721 0.073424 
10000 0.03 450.000000   0.000000 0.987197 0.075568 
10000 0.03 400.000000   0.000000 0.991279 0.078003 
10000 0.03 350.000000   0.000000 0.993306 0.080875 
10000 0.03 300.000000   0.000000 0.995823 0.083762 
10000 0.03 250.000000   0.000000 0.996759 0.087410 
10000 0.03 200.000000   0.000000 0.997609 0.091968 
10000 0.03 150.000000   0.000000 0.998011 0.098309 
10000 0.03 100.000000   0.000000 0.998877 0.108167 
10000 0.03 50.000000   0.000000 0.999078 0.127108 
10000 0.03 40.000000   0.000000 0.999078 0.133129 
10000 0.03 30.000000   0.000000 0.999078 0.140817 
10000 0.03 20.000000   0.000000 0.999078 0.151299 
10000 0.03 10.000000   0.000000 0.999078 0.165432 
10000 0.03 5.000000   0.000000 0.999078 0.173327 
10000 0.03 1.000000   0.000000 0.999078 0.180634 
