% N density lambda LLtest TP FP
50 0.14 500.000000   0.000000 0.096519 0.071980 
50 0.14 450.000000   0.000000 0.110682 0.079898 
50 0.14 400.000000   0.000000 0.123956 0.087856 
50 0.14 350.000000   0.000000 0.135229 0.096740 
50 0.14 300.000000   0.000000 0.153336 0.107577 
50 0.14 250.000000   0.000000 0.171890 0.117396 
50 0.14 200.000000   0.000000 0.195614 0.130054 
50 0.14 150.000000   0.000000 0.219102 0.144195 
50 0.14 100.000000   0.000000 0.257897 0.165450 
50 0.14 50.000000   0.000000 0.326465 0.206372 
50 0.14 40.000000   0.000000 0.344795 0.217534 
50 0.14 30.000000   0.000000 0.374565 0.233490 
50 0.14 20.000000   0.000000 0.427493 0.260107 
50 0.14 10.000000   0.000000 0.500844 0.310237 
50 0.14 5.000000   0.000000 0.568071 0.357276 
50 0.14 1.000000   0.000000 0.656023 0.447446 
100 0.14 500.000000   0.000000 0.151780 0.096701 
100 0.14 450.000000   0.000000 0.170950 0.109713 
100 0.14 400.000000   0.000000 0.185879 0.116877 
100 0.14 350.000000   0.000000 0.201380 0.124928 
100 0.14 300.000000   0.000000 0.218153 0.133169 
100 0.14 250.000000   0.000000 0.234473 0.143309 
100 0.14 200.000000   0.000000 0.250976 0.154046 
100 0.14 150.000000   0.000000 0.278244 0.171110 
100 0.14 100.000000   0.000000 0.323033 0.196213 
100 0.14 50.000000   0.000000 0.412845 0.240987 
100 0.14 40.000000   0.000000 0.432053 0.252205 
100 0.14 30.000000   0.000000 0.457683 0.269273 
100 0.14 20.000000   0.000000 0.505441 0.295277 
100 0.14 10.000000   0.000000 0.586743 0.343105 
100 0.14 5.000000   0.000000 0.641018 0.384743 
100 0.14 1.000000   0.000000 0.704664 0.460061 
200 0.14 500.000000   0.000000 0.199600 0.121555 
200 0.14 450.000000   0.000000 0.220904 0.134306 
200 0.14 400.000000   0.000000 0.235165 0.142070 
200 0.14 350.000000   0.000000 0.251185 0.151330 
200 0.14 300.000000   0.000000 0.271168 0.160816 
200 0.14 250.000000   0.000000 0.292262 0.171219 
200 0.14 200.000000   0.000000 0.312439 0.184425 
200 0.14 150.000000   0.000000 0.347301 0.202560 
200 0.14 100.000000   0.000000 0.399432 0.229344 
200 0.14 50.000000   0.000000 0.480335 0.276318 
200 0.14 40.000000   0.000000 0.504972 0.288686 
200 0.14 30.000000   0.000000 0.537945 0.308573 
200 0.14 20.000000   0.000000 0.581869 0.334767 
200 0.14 10.000000   0.000000 0.646244 0.377850 
200 0.14 5.000000   0.000000 0.677496 0.411415 
200 0.14 1.000000   0.000000 0.711183 0.456303 
500 0.14 500.000000   0.000000 0.278296 0.161226 
500 0.14 450.000000   0.000000 0.306708 0.173283 
500 0.14 400.000000   0.000000 0.322495 0.182873 
500 0.14 350.000000   0.000000 0.346066 0.192912 
500 0.14 300.000000   0.000000 0.368694 0.204528 
500 0.14 250.000000   0.000000 0.394397 0.217461 
500 0.14 200.000000   0.000000 0.421558 0.231728 
500 0.14 150.000000   0.000000 0.456810 0.251261 
500 0.14 100.000000   0.000000 0.503692 0.277024 
500 0.14 50.000000   0.000000 0.587548 0.325368 
500 0.14 40.000000   0.000000 0.603085 0.336247 
500 0.14 30.000000   0.000000 0.633017 0.355553 
500 0.14 20.000000   0.000000 0.669952 0.378977 
500 0.14 10.000000   0.000000 0.705629 0.412554 
500 0.14 5.000000   0.000000 0.719322 0.437426 
500 0.14 1.000000   0.000000 0.734179 0.463168 
1000 0.14 500.000000   0.000000 0.347093 0.201478 
1000 0.14 450.000000   0.000000 0.390194 0.217699 
1000 0.14 400.000000   0.000000 0.408802 0.226271 
1000 0.14 350.000000   0.000000 0.428547 0.237385 
1000 0.14 300.000000   0.000000 0.452469 0.248223 
1000 0.14 250.000000   0.000000 0.471623 0.261054 
1000 0.14 200.000000   0.000000 0.503557 0.275703 
1000 0.14 150.000000   0.000000 0.542918 0.296192 
1000 0.14 100.000000   0.000000 0.585706 0.323055 
1000 0.14 50.000000   0.000000 0.662231 0.371838 
1000 0.14 40.000000   0.000000 0.680292 0.381974 
1000 0.14 30.000000   0.000000 0.694341 0.394912 
1000 0.14 20.000000   0.000000 0.710978 0.416114 
1000 0.14 10.000000   0.000000 0.727750 0.442246 
1000 0.14 5.000000   0.000000 0.738583 0.458591 
1000 0.14 1.000000   0.000000 0.742638 0.473845 
