% N density lambda LLtest TP FP
10000 0.08 100.000000   0.000000 0.535529 0.239240 
10000 0.08 50.000000   0.000000 0.537169 0.247099 
10000 0.08 40.000000   0.000000 0.537169 0.247710 
10000 0.08 30.000000   0.000000 0.538227 0.249939 
10000 0.08 20.000000   0.000000 0.540392 0.251859 
10000 0.08 10.000000   0.000000 0.541484 0.253083 
10000 0.08 5.000000   0.000000 0.541484 0.254391 
10000 0.08 1.000000   0.000000 0.542049 0.255310 
10000 0.08 0.500000   0.000000 0.542049 0.255310 
10000 0.08 0.100000   0.000000 0.542049 0.255397 
