%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.2194 10 1.041221 0.01910220 0.01281066
50 0.2194 10 1.053103 0.01623687 0.008711248
50 0.2194 10 1.078595 0.02674308 0.008711248
50 0.2194 10 1.040921 0.01719198 0.01024853
50 0.2194 10 1.084184 0.02483286 0.008711248
%n density lambda lse TP FP 
50 0.3138 10 1.083494 0.02304147 0.01369863
50 0.3138 10 1.086600 0.01909151 0.01020111
50 0.3138 10 1.102208 0.02699144 0.01661323
50 0.3138 5 1.152341 0.1843318 0.1533081
50 0.3138 10 1.083537 0.02435813 0.009909647
50 0.3146 10 1.089868 0.02363756 0.01604902
50 0.3146 10 1.079788 0.02035456 0.008170411
50 0.3146 10 1.071353 0.02626395 0.01459002
50 0.3146 10 1.047903 0.01838477 0.01488182
50 0.3146 10 1.050994 0.02101116 0.01167202
50 0.3138 10 1.085260 0.02040816 0.01282425
50 0.3138 10 1.051227 0.01316656 0.01107549
50 0.3138 10 1.113062 0.01909151 0.009909647
50 0.3138 10 1.113019 0.02764977 0.01369863
50 0.3138 10 1.058921 0.01777485 0.009035267
50 0.3128 10 1.076978 0.02443857 0.01018626
50 0.3128 10 1.059887 0.01519155 0.008731083
50 0.3128 10 1.086116 0.01453104 0.009022119
50 0.3128 10 1.095822 0.01453104 0.009313155
50 0.3128 10 1.089106 0.01056803 0.01338766
50 0.3138 10 1.077434 0.02040816 0.01369863
50 0.3138 10 1.101511 0.02369980 0.01311571
50 0.3138 10 1.056817 0.01777485 0.01107549
50 0.3138 10 1.084820 0.02040816 0.01340717
50 0.3138 10 1.078722 0.02172482 0.01078403
%n density lambda lse TP FP 
500 0.0614 0.1 1.212267 0.996109 0.9927552
500 0.0614 0.1 1.211940 0.9922179 0.9929683
500 0.0614 0.1 1.225780 1 0.9910505
500 0.0614 0.1 1.218399 0.9922179 0.992542
500 0.0614 0.1 1.278451 0.9922179 0.9908374
500 0.0612 0.1 1.212478 1 0.9925437
500 0.0612 0.1 1.207567 1 0.9921176
500 0.0612 0.1 1.231842 1 0.9904133
500 0.0612 0.1 1.202622 1 0.9919046
500 0.0612 0.1 1.225623 0.9960938 0.9904133
500 0.0616 0.1 1.207571 0.996124 0.9931799
500 0.0616 0.1 1.216696 1 0.9927536
500 0.0616 0.1 1.206535 0.992248 0.9911552
500 0.0616 0.1 1.273557 1 0.9906223
500 0.0616 0.1 1.234537 0.992248 0.9942455
500 0.0614 0.1 1.267795 0.9922179 0.9908374
500 0.0614 0.1 1.219750 0.996109 0.9893458
500 0.0614 0.1 1.232387 1 0.9932879
500 0.0614 0.1 1.213790 0.9922179 0.9908374
500 0.0614 0.1 1.214056 0.996109 0.992542
500 0.0618 0.1 1.195171 0.996139 0.991473
500 0.0618 0.1 1.243343 0.996139 0.9923257
500 0.0618 0.1 1.238221 0.988417 0.9923257
500 0.0618 0.1 1.233966 0.996139 0.991473
500 0.0618 0.1 1.207635 0.992278 0.9946706
%n density lambda lse TP FP 
500 0.2188 0.1 1.166538 0.9990421 0.9920635
500 0.2188 0.1 1.127448 0.9952107 0.9920635
500 0.2188 0.1 1.236911 0.9971264 0.9933436
500 0.2188 0.1 1.172896 0.9961686 0.9930876
500 0.2188 0.1 1.212825 0.9942529 0.9928315
500 0.2196 0.1 1.179185 0.9942748 0.9933368
500 0.2196 0.1 1.238272 0.995229 0.9892363
500 0.2196 0.1 1.180576 0.9990458 0.990774
500 0.2196 0.1 1.194011 0.9923664 0.9915428
500 0.2196 0.1 1.151571 0.9980916 0.9905177
500 0.219 0.1 1.192592 0.9933014 0.9895006
500 0.219 0.1 1.146966 0.9961722 0.9920615
500 0.219 0.1 1.183153 0.9961722 0.9902689
500 0.219 0.1 1.226795 0.9961722 0.9910371
500 0.219 0.1 1.223079 0.9971292 0.990525
500 0.2182 0.1 1.178211 0.9961575 0.991558
500 0.2182 0.1 1.187584 0.9961575 0.9905347
500 0.2182 0.1 1.186337 0.9961575 0.9923254
500 0.2182 0.1 1.203480 0.9971182 0.9918138
500 0.2182 0.1 1.176878 0.9942363 0.9913021
500 0.2194 0.1 1.172838 0.9952245 0.9923136
500 0.2194 0.1 1.201382 0.9933142 0.9902639
500 0.2194 0.1 1.209934 0.9952245 0.9925698
500 0.2194 0.1 1.225935 0.9971347 0.992826
500 0.2194 0.1 1.209064 0.9971347 0.9912888
%n density lambda lse TP FP 
500 0.3138 0.1 1.153840 0.998025 0.9897989
500 0.3138 0.1 1.167030 0.9973667 0.9909647
500 0.3138 0.1 1.172099 0.99605 0.9909647
500 0.3138 0.1 1.175272 0.9967084 0.9941708
500 0.3138 0.1 1.176988 0.9973667 0.9927135
500 0.3146 0.1 1.160282 0.9980302 0.992705
500 0.3146 0.1 1.169971 0.993434 0.9929968
500 0.3146 0.1 1.136361 0.993434 0.991246
500 0.3146 0.1 1.168857 0.9940906 0.989787
500 0.3146 0.1 1.166764 0.9986868 0.992705
500 0.3138 0.1 1.180692 0.994075 0.993005
500 0.3138 0.1 1.179080 0.9973667 0.9918391
500 0.3138 0.1 1.118758 0.9953917 0.989216
