%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.219 0.1 1.9609 0.7947368 0.8038412
50 0.219 0.1 1.923674 0.7956938 0.7960307
50 0.219 0.1 1.965468 0.815311 0.7971831
50 0.2182 0.1 1.955629 0.8001921 0.801228
50 0.2182 0.1 1.908609 0.8136407 0.8018675
50 0.2182 0.1 1.979742 0.8146013 0.8007163
50 0.2182 0.1 2.040612 0.820365 0.7959836
50 0.2182 0.1 1.926137 0.8136407 0.8066002
50 0.2194 0.1 1.900738 0.813276 0.8087369
50 0.2194 0.1 1.946945 0.8108883 0.7965667
50 0.2194 0.1 1.974048 0.7893983 0.7950295
50 0.2194 0.1 2.003875 0.8147087 0.7911863
50 0.2194 0.1 1.945203 0.8228271 0.788368
%n density lambda lse TP FP 
50 0.3138 0.1 1.943611 0.8163265 0.785631
50 0.3138 0.1 1.951692 0.8048058 0.7914602
50 0.3138 0.1 1.939878 0.8159974 0.7940834
50 0.3138 0.1 1.958975 0.8248848 0.7892743
50 0.3138 0.1 1.927277 0.7946017 0.8156514
50 0.3146 0.1 2.019717 0.800394 0.8023052
50 0.3146 0.1 1.959059 0.7977676 0.7936971
50 0.3146 0.1 1.919452 0.7944846 0.7939889
50 0.3146 0.1 1.957024 0.8214051 0.7999708
50 0.3146 0.1 2.018989 0.8154957 0.8021593
50 0.3138 0.1 1.965711 0.79921 0.8015156
50 0.3138 0.1 1.978247 0.8015142 0.8031186
50 0.3138 0.1 1.995687 0.811389 0.7997668
50 0.3138 0.1 2.007499 0.7929559 0.7961236
50 0.3138 0.1 1.9211 0.7975642 0.7997668
50 0.3128 0.1 1.927947 0.7959049 0.802823
50 0.3128 0.1 2.03183 0.7939234 0.8057334
50 0.3128 0.1 2.018795 0.810436 0.7914726
50 0.3128 0.1 1.946639 0.8110964 0.8012224
50 0.3128 0.1 1.936448 0.8028402 0.8034051
50 0.3138 0.1 1.953224 0.7906517 0.8069076
50 0.3138 0.1 2.012472 0.7965767 0.800204
50 0.3138 0.1 1.869307 0.8104016 0.791606
