%n density lambda_avg lse TP FP
1000 0.2194 200 1.068186 0 0
1000 0.3138 200 1.081682 0 0
30 0.0618 300 1.024734 0 0
30 0.2194 300 1.064164 0 0
30 0.3138 300 1.084746 0 0
50 0.0618 300 1.016422 0 0
50 0.2194 300 1.059342 0 0
50 0.3138 300 1.076431 0 0
500 0.0618 300 1.018243 0 0
500 0.2194 300 1.059365 0 0
500 0.3138 300 1.077011 0 0
1000 0.0618 300 1.019285 0 0
1000 0.2194 300 1.064143 0 0
1000 0.3138 300 1.084352 0 0
30 0.0618 400 1.021179 0 0
30 0.2194 400 1.058868 0 0
30 0.3138 400 1.085240 0 0
50 0.0618 400 1.017016 0 0
50 0.2194 400 1.058145 0 0
50 0.3138 400 1.075812 0 0
500 0.0618 400 1.01957 0 0
500 0.2194 400 1.056567 0 0
500 0.3138 400 1.081640 0 0
1000 0.0618 400 1.012513 0 0
1000 0.2194 400 1.056790 0 0
1000 0.3138 400 1.078513 0 0
30 0.0618 500 1.019286 0 0
30 0.2194 500 1.059989 0 0
30 0.3138 500 1.082954 0 0
50 0.0618 500 1.025017 0 0
50 0.2194 500 1.055556 0 0
50 0.3138 500 1.081074 0 0
500 0.0618 500 1.018626 0 0
500 0.2194 500 1.066750 0 0
500 0.3138 500 1.082996 0 0
1000 0.0618 500 1.016277 0 0
1000 0.2194 500 1.063193 0 0
1000 0.3138 500 1.084867 0 0
30 0.0618 1000 1.021735 0 0
30 0.2194 1000 1.064983 0 0
30 0.3138 1000 1.082879 0 0
50 0.0618 1000 1.017827 0 0
50 0.2194 1000 1.064290 0 0
50 0.3138 1000 1.077680 0 0
500 0.0618 1000 1.023490 0 0
500 0.2194 1000 1.063348 0 0
500 0.3138 1000 1.078028 0 0
1000 0.0618 1000 1.020593 0 0
1000 0.2194 1000 1.062170 0 0
1000 0.3138 1000 1.075614 0 0
30 0.0618 2000 1.018533 0 0
30 0.2194 2000 1.066906 0 0
30 0.3138 2000 1.082981 0 0
50 0.0618 2000 1.019858 0 0
50 0.2194 2000 1.065348 0 0
50 0.3138 2000 1.079438 0 0
500 0.0618 2000 1.015203 0 0
500 0.2194 2000 1.065466 0 0
500 0.3138 2000 1.088491 0 0
1000 0.0618 2000 1.017979 0 0
1000 0.2194 2000 1.058862 0 0
1000 0.3138 2000 1.083514 0 0
%n density lambda_avg lse TP FP
100 0.0618 0.1 2.808702 0.9610625 0.9560033
100 0.2194 0.1 2.757191 0.9601708 0.9552931
100 0.3138 0.1 2.670846 0.959281 0.9548145
2000 0.0618 0.1 1.043339 0.9982897 0.996437
2000 0.2194 0.1 1.012587 0.9990054 0.9967323
2000 0.3138 0.1 0.9853998 0.9991048 0.9966308
%n density lambda_avg lse TP FP
100 0.0618 0.1 2.863980 0.9605268 0.9563993
100 0.2194 0.1 2.724442 0.959082 0.955483
100 0.3138 0.1 2.687920 0.9586397 0.9562723
