%n density  glcalls lse TP FP 
30 0.219 7 1.233929 0.3100478 0.2939821
30 0.219 12 1.217398 0.3330144 0.3147247
30 0.219 11 1.216697 0.3239234 0.3090909
30 0.219 12 1.231200 0.3291866 0.2975672
30 0.219 7 1.248201 0.3339713 0.2992318
30 0.219 7 1.236442 0.2966507 0.3037132
30 0.219 7 1.268283 0.3349282 0.3049936
30 0.2182 8 1.250553 0.3083573 0.3031466
30 0.2182 7 1.269512 0.3323727 0.3195191
30 0.2182 12 1.260905 0.3083573 0.2975185
30 0.2182 10 1.237976 0.2920269 0.3036582
30 0.2182 13 1.256519 0.3073967 0.2886928
30 0.2182 8 1.267840 0.3448607 0.3074955
30 0.2182 7 1.238976 0.339097 0.3011
30 0.2182 11 1.206331 0.3419789 0.3050652
30 0.2182 10 1.201302 0.3064361 0.2895881
30 0.2182 11 1.224943 0.3160423 0.3059606
30 0.2194 6 1.235431 0.3233047 0.2813221
30 0.2194 12 1.245171 0.3295129 0.3007943
30 0.2194 12 1.251280 0.3409742 0.2969511
30 0.2194 13 1.222242 0.3428844 0.2895209
30 0.2194 12 1.238163 0.3018147 0.3082244
30 0.2194 10 1.217322 0.3094556 0.2802972
30 0.2194 11 1.222655 0.3209169 0.29567
30 0.2194 10 1.241163 0.3170965 0.3025878
30 0.2194 14 1.272442 0.3342884 0.3023315
30 0.2194 11 1.200214 0.3065903 0.2978478
30 0.2188 12 1.234276 0.3141762 0.2931388
30 0.2188 11 1.218192 0.3170498 0.2905786
30 0.2188 8 1.236337 0.3496169 0.3045315
30 0.2188 12 1.240606 0.3141762 0.2834101
30 0.2188 13 1.250952 0.3314176 0.2945469
30 0.2188 7 1.235993 0.3256705 0.2900666
30 0.2188 11 1.231631 0.3304598 0.3056836
30 0.2188 12 1.236634 0.3467433 0.2956989
30 0.2188 7 1.219462 0.2883142 0.2941628
30 0.2188 10 1.256356 0.3160920 0.2977471
30 0.2188 14 1.221635 0.2816092 0.2872504
30 0.2188 12 1.235175 0.3429119 0.3015873
30 0.2188 10 1.214310 0.3237548 0.2991551
30 0.2188 7 1.212405 0.3170498 0.2820020
30 0.2188 7 1.235500 0.3390805 0.2887865
30 0.2188 10 1.251918 0.3189655 0.2708653
30 0.2188 6 1.212518 0.3141762 0.3015873
30 0.2188 7 1.230796 0.2921456 0.2919867
30 0.2188 10 1.245225 0.3084291 0.3051715
30 0.2188 8 1.236380 0.3103448 0.2949309
30 0.2186 10 1.259452 0.3758389 0.3146916
30 0.2186 10 1.269755 0.3183126 0.2935756
30 0.2186 12 1.207768 0.2991371 0.2902483
30 0.2186 7 1.242442 0.3183126 0.2810340
30 0.2186 10 1.239290 0.3259827 0.3086767
30 0.2186 12 1.228685 0.3384468 0.3068851
30 0.2186 12 1.273092 0.3317354 0.2866650
30 0.2186 12 1.253569 0.3173538 0.3040696
30 0.2186 12 1.220026 0.295302 0.2754031
30 0.2186 10 1.233082 0.3403643 0.2857691
30 0.2196 10 1.266995 0.3520992 0.3004869
30 0.2196 7 1.269610 0.3320611 0.3003588
30 0.2196 13 1.242621 0.3196565 0.2860072
30 0.2196 7 1.231727 0.3282443 0.2998462
30 0.2196 13 1.237758 0.3158397 0.3013839
30 0.2196 12 1.231654 0.3291985 0.3197078
30 0.2196 10 1.234953 0.3062977 0.2765249
30 0.2196 12 1.244818 0.3024809 0.2865197
30 0.2196 11 1.262435 0.3396947 0.302409
30 0.2196 10 1.241607 0.3492366 0.3043311
