%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.3138 28.11007 1.074973 0 0
50 0.3138 32.49065 1.075695 0 0
%n density lambda lse TP FP 
500 0.0614 69.49245 0.9953912 0 0
500 0.0614 71.23129 1.032870 0 0
500 0.0614 68.44271 1.034246 0 0
500 0.0614 71.66909 1.014332 0 0
500 0.0614 69.80632 1.026682 0 0
500 0.0612 72.67292 0.9971745 0 0
500 0.0612 73.32567 1.063265 0 0
500 0.0612 68.87298 1.022755 0 0
500 0.0612 71.10539 1.033815 0 0
500 0.0612 68.43396 1.030915 0 0
500 0.0616 68.72158 1.018314 0 0
500 0.0616 72.59541 1.014010 0 0
500 0.0616 69.31499 1.011754 0 0
500 0.0616 71.96173 1.019844 0 0
500 0.0616 73.75587 1.016532 0 0
500 0.0614 68.90016 1.014515 0 0
500 0.0614 72.21783 1.022388 0 0
500 0.0614 73.71608 1.001307 0.003891051 0
500 0.0614 67.84353 0.9938426 0 0
500 0.0614 68.3123 1.002424 0 0
500 0.0618 70.7588 1.033448 0 0
500 0.0618 70.61741 1.028227 0 0
500 0.0618 71.53975 1.020874 0 0
500 0.0618 69.76524 1.038243 0 0
500 0.0618 72.81985 1.031660 0 0
%n density lambda lse TP FP 
500 0.2188 75.57728 1.045033 0 0
500 0.2188 72.40664 1.067335 0 0
500 0.2188 75.039 1.049150 0 0
500 0.2188 70.51126 1.079997 0 0
500 0.2188 71.80381 1.054606 0 0
500 0.2196 75.12548 1.028767 0.0009541985 0
500 0.2196 72.76809 1.057462 0 0
500 0.2196 73.84998 1.054554 0 0
500 0.2196 75.88855 1.073927 0 0
500 0.2196 76.21673 1.058487 0.0009541985 0
500 0.219 74.74212 1.056204 0 0
500 0.219 74.93862 1.064372 0 0
500 0.219 72.85645 1.058818 0 0
500 0.219 71.8483 1.068333 0 0
500 0.219 72.187 1.0694 0 0
500 0.2182 73.48115 1.046144 0 0
500 0.2182 71.50695 1.047365 0 0
500 0.2182 72.49753 1.058621 0 0
500 0.2182 75.44581 1.070285 0 0
500 0.2182 75.16755 1.04609 0 0
500 0.2194 70.9747 1.061098 0 0
500 0.2194 72.25152 1.049011 0 0
500 0.2194 73.93059 1.037899 0 0
500 0.2194 71.22598 1.067431 0 0
500 0.2194 74.1417 1.041957 0 0
%n density lambda lse TP FP 
500 0.3138 76.1056 1.061348 0 0
500 0.3138 73.5769 1.079372 0 0
500 0.3138 72.67436 1.071992 0 0
500 0.3138 74.24159 1.100657 0.0006583278 0
500 0.3138 72.84103 1.093867 0 0
500 0.3146 75.17554 1.068337 0 0
500 0.3146 78.47582 1.072454 0 0
500 0.3146 77.26314 1.058717 0 0
500 0.3146 74.71761 1.063758 0 0
500 0.3146 73.40551 1.059037 0 0
500 0.3138 75.73635 1.105201 0 0
500 0.3138 73.3129 1.063054 0 0
500 0.3138 77.43786 1.104683 0 0
500 0.3138 75.70232 1.065894 0 0
500 0.3138 81.20174 1.104559 0 0
500 0.3128 71.9393 1.079628 0 0
500 0.3128 75.53612 1.063749 0 0
500 0.3128 74.52596 1.060696 0 0
500 0.3128 72.65316 1.055293 0 0
500 0.3128 75.64119 1.082690 0 0
500 0.3138 75.81192 1.111295 0.0006583278 0
500 0.3138 72.78595 1.076181 0 0
500 0.3138 73.48307 1.079622 0 0
500 0.3138 72.25163 1.056206 0 0
500 0.3138 73.4466 1.065488 0 0
%n density lambda lse TP FP 
1000 0.0614 98.94853 1.030154 0 0
1000 0.0614 94.2547 1.005454 0 0
1000 0.0614 98.102 1.024032 0.007782101 0
1000 0.0614 98.54581 1.003405 0 0
1000 0.0614 98.2059 1.014663 0 0
1000 0.0612 100.4497 0.9926617 0.00390625 0
1000 0.0612 100.5831 1.010604 0 0
1000 0.0612 102.6822 1.019733 0 0
1000 0.0612 99.65547 1.011550 0.00390625 0
1000 0.0612 94.46556 1.039238 0.01171875 0
1000 0.0616 102.0448 1.007055 0 0
1000 0.0616 100.3413 0.9858809 0 0
1000 0.0616 98.03263 1.021066 0.003875969 0
1000 0.0616 101.3522 1.031589 0.01162791 0
1000 0.0616 97.45367 1.031840 0 0
1000 0.0614 99.60861 1.046259 0 0
1000 0.0614 106.5043 1.012134 0 0
1000 0.0614 98.2174 1.028823 0.003891051 0
1000 0.0614 98.52239 0.9980746 0.003891051 0
1000 0.0614 98.36679 0.9965216 0 0
1000 0.0618 96.59709 1.002995 0.01158301 0
1000 0.0618 96.82784 1.015815 0.003861004 0
1000 0.0618 100.2028 1.006612 0 0
1000 0.0618 96.19511 1.021825 0 0
1000 0.0618 95.52975 1.01351 0.003861004 0
%n density lambda lse TP FP 
1000 0.2188 100.1770 1.038592 0 0
1000 0.2188 100.0073 1.040688 0.003831418 0
1000 0.2188 99.31403 1.049924 0.0009578544 0
1000 0.2188 103.9394 1.051494 0.001915709 0
1000 0.2188 102.9932 1.065374 0.001915709 0
1000 0.2196 101.5687 1.061954 0.001908397 0
1000 0.2196 99.46542 1.075913 0.003816794 0
1000 0.2196 98.33414 1.080040 0.001908397 0
1000 0.2196 107.9187 1.070472 0.0009541985 0
1000 0.2196 104.5813 1.077053 0.001908397 0
1000 0.219 97.54918 1.067907 0.001913876 0
1000 0.219 102.1509 1.066064 0 0
1000 0.219 103.5462 1.067574 0.0009569378 0
1000 0.219 101.0212 1.084267 0.0009569378 0
1000 0.219 99.29348 1.049753 0 0
1000 0.2182 104.1765 1.062982 0.0009606148 0
1000 0.2182 104.6436 1.028794 0 0
1000 0.2182 101.7415 1.072991 0.0009606148 0
1000 0.2182 107.6649 1.052156 0.0009606148 0
1000 0.2182 100.196 1.066088 0.001921230 0
1000 0.2194 99.51257 1.067894 0.0009551098 0
1000 0.2194 101.3865 1.037347 0.002865330 0
1000 0.2194 101.5045 1.057226 0 0
1000 0.2194 100.9586 1.086450 0.0009551098 0
1000 0.2194 107.5777 1.095396 0.001910220 0
%n density lambda lse TP FP 
1000 0.3138 105.3025 1.069154 0.0006583278 0
1000 0.3138 105.2531 1.102253 0.001316656 0
1000 0.3138 103.8882 1.091412 0.001316656 0
1000 0.3138 104.2373 1.071267 0.001974984 0
1000 0.3138 103.9316 1.093815 0.001316656 0
1000 0.3146 106.4746 1.097802 0.002626395 0
1000 0.3146 102.2452 1.081166 0.003939593 0
1000 0.3146 100.9736 1.033181 0.003282994 0
1000 0.3146 102.6655 1.067111 0.002626395 0
1000 0.3146 104.1805 1.113944 0.001969796 0
1000 0.3138 102.7966 1.069071 0.001316656 0
1000 0.3138 104.7080 1.076487 0.0006583278 0
1000 0.3138 102.5092 1.083739 0.0006583278 0
1000 0.3138 105.3633 1.091609 0.001974984 0
1000 0.3138 102.6362 1.081124 0.001316656 0
1000 0.3128 101.4956 1.081401 0.001981506 0
1000 0.3128 101.7387 1.071465 0.001321004 0
1000 0.3128 104.7609 1.082395 0.001321004 0
1000 0.3128 104.3651 1.081942 0 0
1000 0.3128 102.7149 1.086510 0 0
1000 0.3138 103.5783 1.063309 0.001316656 0
1000 0.3138 101.6320 1.091003 0.001316656 0
1000 0.3138 105.7199 1.101853 0.001316656 0
1000 0.3138 101.3018 1.097563 0.001974984 0
1000 0.3138 101.9988 1.078250 0.001316656 0
