n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0614 1000 42.80257 1008.451 5 1.015152 0 0
30 0.0614 1000 42.63256 1008.451 5 0.9934505 0 0
30 0.0614 1000 42.57339 1008.451 5 1.022132 0 0
30 0.0612 1000 42.56081 1008.451 5 1.006167 0 0
30 0.0612 1000 43.16591 1008.451 5 1.020548 0 0
30 0.0612 1000 42.66881 1008.451 5 0.9899437 0 0
30 0.0612 1000 42.81272 1008.451 5 1.020635 0 0
30 0.0612 1000 42.91993 1008.451 5 1.000059 0 0
30 0.0616 1000 42.72473 1008.451 5 1.008672 0 0
30 0.0616 1000 42.98503 1008.451 5 1.02255 0 0
30 0.0616 1000 42.92054 1008.451 5 1.014567 0 0
30 0.0616 1000 42.99191 1008.452 5 1.033832 0 0
30 0.0616 1000 42.78101 1008.450 5 1.00032 0 0
30 0.0614 1000 42.75819 1008.451 5 0.9968719 0 0
30 0.0614 1000 42.8181 1008.450 5 1.032546 0 0
30 0.0614 1000 42.82471 1008.451 5 1.025041 0 0
30 0.0614 1000 42.81375 1008.451 5 1.021725 0 0
30 0.0614 1000 42.83061 1008.452 7 0.9945409 0 0
30 0.0618 1000 42.68163 1008.451 5 1.023156 0 0
30 0.0618 1000 42.59921 1008.451 5 1.013430 0 0
30 0.0618 1000 42.59621 1008.451 9 1.009402 0 0
30 0.0618 1000 42.87764 1008.451 5 1.036563 0 0
30 0.0618 1000 42.78736 1008.451 5 1.032076 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 10000 42.63058 9889.141 1 1.063236 0.1128405 0.08459408
30 0.0614 10000 42.83755 9894.069 1 1.057877 0.1128405 0.07500533
30 0.0614 10000 43.03386 9892.11 1 1.080827 0.1050584 0.08203708
30 0.0614 10000 42.3555 9892.806 1 1.021637 0.07392996 0.071596
30 0.0614 10000 42.70098 9890.05 1 1.047854 0.1050584 0.086938
30 0.0612 10000 42.88255 9893.848 1 1.065664 0.125 0.07690669
30 0.0612 10000 42.92687 9893.118 1 1.028623 0.1054688 0.078611
