%n density  glcalls lse TP FP 
50 0.2194 13 1.310625 0.4565425 0.4404304
50 0.2194 11 1.255722 0.4937918 0.4427364
50 0.3138 7 1.262327 0.4654378 0.428738
50 0.3138 7 1.293735 0.4730086 0.4403964
50 0.3138 7 1.249802 0.4654378 0.4406878
50 0.3138 6 1.263399 0.4456880 0.4285922
50 0.3138 7 1.308218 0.4628045 0.414165
50 0.3146 7 1.298613 0.4753775 0.4374088
50 0.3146 7 1.31391 0.4707814 0.4292384
50 0.3146 7 1.276385 0.4724228 0.4403268
50 0.3146 7 1.256279 0.4629022 0.4242778
50 0.3146 7 1.257548 0.4537098 0.4404727
50 0.3138 4 1.298198 0.4621461 0.4469542
50 0.3138 6 1.331626 0.4526004 0.4345672
50 0.3138 4 1.265710 0.4871626 0.4383562
50 0.3138 7 1.256136 0.4621461 0.4383562
50 0.3138 7 1.278905 0.4443713 0.4269892
50 0.3128 7 1.230333 0.4663144 0.4222934
50 0.3128 7 1.253876 0.4762219 0.4307334
50 0.3128 6 1.29982 0.4534346 0.4307334
50 0.3128 7 1.299959 0.4471598 0.4409197
50 0.3128 11 1.295169 0.4511229 0.4294237
50 0.3138 4 1.301341 0.4621461 0.4272807
50 0.3138 7 1.260298 0.4693878 0.4402507
50 0.3138 7 1.279883 0.4716919 0.4277179
50 0.3138 7 1.255856 0.4575379 0.4293209
50 0.3138 7 1.290786 0.4825543 0.4310697
150 0.0614 9 1.010238 0 0
150 0.0614 9 1.015340 0 0
150 0.0614 9 1.007314 0 0
150 0.0614 9 1.024445 0 0
150 0.0614 9 1.011393 0 0
150 0.0612 10 1.01488 0 0
150 0.0612 9 1.020989 0 0
150 0.0612 10 1.027109 0 0
150 0.0612 10 1.015089 0 0
150 0.0612 9 1.018811 0 0
150 0.0616 9 1.013404 0 0
150 0.0616 10 1.022028 0 0
150 0.0616 9 1.025306 0 0
150 0.0616 10 1.002444 0 0
150 0.0616 9 1.012595 0 0
150 0.0614 9 1.027872 0 0
150 0.0614 9 0.991254 0 0
150 0.0614 10 0.9953117 0 0
150 0.0614 10 1.022344 0 0
150 0.0614 9 1.013808 0 0
150 0.0618 10 0.9832385 0 0
150 0.0618 10 1.020573 0 0
150 0.0618 10 1.019345 0 0
150 0.0618 9 1.020637 0 0
150 0.0618 10 1.022565 0 0
150 0.2188 9 1.05075 0 0
150 0.2188 9 1.075851 0 0
150 0.2188 9 1.056211 0 0
150 0.2188 9 1.062197 0 0
150 0.2188 9 1.052499 0 0
150 0.2196 9 1.074742 0 0
150 0.2196 9 1.060939 0 0
150 0.2196 9 1.066504 0 0
150 0.2196 9 1.027076 0 0
150 0.2196 9 1.039488 0 0
150 0.219 9 1.043146 0 0
150 0.219 10 1.056485 0 0
150 0.219 9 1.049301 0 0
150 0.219 10 1.06534 0 0
150 0.219 9 1.031131 0 0
150 0.2182 10 1.055897 0 0
150 0.2182 9 1.049677 0 0
150 0.2182 9 1.058862 0 0
150 0.2182 9 1.075537 0 0
150 0.2182 9 1.059642 0 0
150 0.2194 9 1.093222 0 0
150 0.2194 9 1.044423 0 0
150 0.2194 9 1.055601 0 0
150 0.2194 9 1.049233 0 0
150 0.2194 9 1.098111 0 0
150 0.3138 9 1.086306 0 0
150 0.3138 9 1.104504 0 0
150 0.3138 9 1.078407 0 0
150 0.3138 9 1.100328 0 0
150 0.3138 9 1.082936 0 0
150 0.3146 9 1.114110 0 0
150 0.3146 9 1.095722 0 0
150 0.3146 9 1.072558 0 0
150 0.3146 9 1.074401 0 0
150 0.3146 9 1.079994 0 0
150 0.3138 9 1.110434 0 0
150 0.3138 9 1.093726 0 0
150 0.3138 9 1.058966 0 0
150 0.3138 9 1.083796 0 0
150 0.3138 9 1.085574 0 0
150 0.3128 9 1.098627 0 0
150 0.3128 9 1.051877 0 0
150 0.3128 10 1.072896 0 0
150 0.3128 9 1.081373 0 0
150 0.3128 9 1.085815 0 0
150 0.3138 9 1.085019 0 0
150 0.3138 9 1.073039 0 0
150 0.3138 9 1.077596 0 0
150 0.3138 10 1.075318 0 0
150 0.3138 9 1.064418 0 0
250 0.0614 12 0.991154 0 0
250 0.0614 12 1.033018 0 0
250 0.0614 11 1.016634 0 0
250 0.0614 12 1.043841 0 0
250 0.0614 12 1.016200 0 0
250 0.0612 11 1.042448 0 0
250 0.0612 11 1.017662 0 0
250 0.0612 12 1.011564 0 0
250 0.0612 11 1.015840 0 0
