%n density b b_old lambda_avg glcalls lse TP FP
1000 0.0618 200 0.0430912 32.76922 7.2 1.009683 0.4837201 0.04331092
1000 0.0618 1000 0.04290618 8.08069 5 1.038483 0.8604207 0.5983549
1000 0.0618 2000 0.04285174 4.344892 5.44 1.058555 0.919978 0.7757068
1000 0.0618 10000 0.04321831 0.961937 7 1.085622 0.9822795 0.9489238
1000 0.2194 1 0.05194187 130.2082 8 1.061136 0 0
1000 0.2194 10 0.0519588 114.1283 8 1.061412 0.0003059289 0
1000 0.2194 100 0.05191668 51.09565 8 1.041652 0.2095637 0.005449588
1000 0.2194 200 0.05193966 30.12603 8 1.014354 0.4806485 0.0873949
1000 0.2194 1000 0.05222703 7.720834 5 1.013512 0.8448927 0.6212796
1000 0.2194 2000 0.05194246 4.228888 4.64 1.024272 0.9131885 0.7806829
1000 0.2194 10000 0.05227708 0.9547202 6.28 1.045730 0.9813391 0.9490909
1000 0.3138 1 0.05841041 132.7823 8 1.078053 0 0
1000 0.3138 10 0.05877884 115.8246 8 1.088845 0.000289769 0
1000 0.3138 100 0.058801 50.12047 9.52 1.061917 0.2115152 0.01311473
1000 0.3138 200 0.05851584 28.52323 8.88 1.015819 0.4857037 0.1312863
1000 0.3138 1000 0.05861562 7.522686 5 0.9969583 0.841468 0.6374047
1000 0.3138 2000 0.05859909 4.160054 4 1.009151 0.9078734 0.7871063
1000 0.3138 10000 0.058821 0.9500654 5.36 1.025657 0.9809727 0.950343
