%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0614 1000 43.01674 9.420023 4 1.045411 0 0.0008523333
30 0.0614 1000 42.64045 9.38016 4 1.009716 0 0.0008523333
30 0.0614 1000 42.74017 9.399699 5 1.007943 0.007782101 0.001065417
30 0.0612 1000 42.60424 9.406757 4 1.007301 0 0.001917341
30 0.0612 1000 43.06017 9.424051 5 1.040287 0 0.004473796
30 0.0612 1000 42.6879 9.405815 5 1.006457 0.00390625 0.001278228
30 0.0612 1000 42.92299 9.42008 4 1.034241 0.00390625 0.0008521517
30 0.0612 1000 42.33821 9.408142 4 1.027664 0 0.001917341
30 0.0616 1000 42.64012 9.405753 4 1.015099 0 0.001491901
30 0.0616 1000 42.77864 9.404139 4 1.010935 0 0.001918159
30 0.0616 1000 42.78404 9.422469 5 1.017874 0 0.002131287
30 0.0616 1000 42.61512 9.413693 4 1.014480 0 0.002131287
30 0.0616 1000 42.64009 9.403858 4 1.026579 0.01162791 0.001491901
30 0.0614 1000 42.84941 9.409411 4 1.028799 0.007782101 0.001491583
30 0.0614 1000 42.80478 9.400767 4 1.000016 0 0.001065417
30 0.0614 1000 42.61411 9.438737 5 0.9984104 0.007782101 0.002770083
30 0.0614 1000 42.71912 9.418228 4 1.004889 0 0.001704667
30 0.0614 1000 42.58807 9.41123 5 1.021122 0.003891051 0.001704667
30 0.0618 1000 42.75321 9.411427 4 1.015968 0.003861004 0.001492219
30 0.0618 1000 42.90323 9.413457 4 1.018940 0.003861004 0.002131742
30 0.0618 1000 42.62574 9.409343 4 0.9995382 0.003861004 0.002131742
30 0.0618 1000 42.93151 9.413746 4 1.033410 0 0.001065871
30 0.0618 1000 42.66535 9.403173 5 1.000557 0.01544402 0.00255809
%n density b b_old lambda lse TP FP 
30 0.0614 2000 42.7197 4.738347 5 1.029861 0.1167315 0.07116983
30 0.0614 2000 42.87541 4.733923 6 1.066799 0.1439689 0.09759216
30 0.0614 2000 42.73914 4.730398 5 1.092082 0.08949416 0.1020669
30 0.0614 2000 42.73109 4.732223 5 1.083432 0.1206226 0.09162583
30 0.0614 2000 42.61413 4.735547 5 1.077151 0.09338521 0.08555295
30 0.0612 2000 42.82224 4.721747 3 1.069069 0.109375 0.08883681
30 0.0612 2000 42.56133 4.737556 5 1.086151 0.1015625 0.08968896
