%n density  glcalls lse TP FP 
50 0.3138 5 1.097949 0.03423305 0.01603031
50 0.3138 5 1.126243 0.0283081 0.01457301
50 0.3138 5 1.093427 0.02567479 0.01369863
50 0.3138 5 1.082511 0.03028308 0.01457301
50 0.3138 5 1.060033 0.02304147 0.01428155
50 0.3146 5 1.083526 0.01772817 0.01138022
50 0.3146 5 1.093748 0.02560735 0.01400642
50 0.3146 5 1.110722 0.03151674 0.009337613
50 0.3146 5 1.060191 0.01707157 0.01254742
50 0.3146 5 1.091353 0.02101116 0.01750802
50 0.3138 5 1.108664 0.01974984 0.01807053
50 0.3138 5 1.073778 0.02238315 0.01340717
50 0.3138 5 1.082145 0.02896643 0.02040222
50 0.3138 5 1.053556 0.04147465 0.01544739
50 0.3138 5 1.078519 0.02501646 0.01369863
50 0.3128 5 1.064799 0.01915456 0.01193248
50 0.3128 5 1.094795 0.02179657 0.01542491
50 0.3128 5 1.063558 0.02840159 0.01367870
50 0.3128 5 1.099572 0.02179657 0.01309662
50 0.3128 5 1.076849 0.01915456 0.01367870
50 0.3138 5 1.108605 0.02435813 0.01748761
50 0.3138 5 1.045448 0.02238315 0.01573885
50 0.3138 5 1.102603 0.02764977 0.01253279
50 0.3138 5 1.108272 0.02962475 0.01894491
50 0.3138 5 1.075822 0.02764977 0.01428155
500 0.0614 5 1.007815 0.4669261 0.092052
500 0.0614 5 0.9904589 0.3891051 0.09034733
500 0.0614 5 1.020481 0.459144 0.0856595
500 0.0614 5 0.989818 0.3968872 0.08544641
500 0.0614 5 1.014507 0.4396887 0.0882165
500 0.0612 5 1.015663 0.3945312 0.08351086
500 0.0612 5 1.010628 0.421875 0.08436302
500 0.0612 5 1.008651 0.4453125 0.0988496
500 0.0612 5 1.013732 0.4179688 0.08564124
500 0.0612 5 1.023761 0.4257812 0.08883681
500 0.0616 5 1.003996 0.3875969 0.09185848
500 0.0616 5 1.031949 0.4341085 0.08653026
500 0.0616 5 0.9861457 0.4341085 0.0875959
500 0.0616 5 0.9854082 0.3837209 0.08418585
500 0.0616 5 0.976843 0.4573643 0.09036658
500 0.0614 5 1.01742 0.4124514 0.09119966
500 0.0614 5 1.015457 0.4513619 0.09141274
500 0.0614 5 0.9933262 0.4435798 0.08608566
500 0.0614 5 1.021158 0.4474708 0.09119966
500 0.0614 5 0.9946748 0.3774319 0.08395483
500 0.0618 5 1.028633 0.4401544 0.0842038
500 0.0618 5 0.9899226 0.4169884 0.09017267
500 0.0618 5 1.000072 0.3976834 0.0899595
500 0.0618 5 1.005458 0.4401544 0.09315711
500 0.0618 5 1.028741 0.4131274 0.08889363
500 0.2188 5 0.992148 0.4329502 0.1451613
500 0.2188 5 1.012472 0.4348659 0.1385049
500 0.2188 5 1.023644 0.4233716 0.1367127
500 0.2188 5 1.007027 0.4454023 0.1369688
500 0.2188 5 1.025433 0.3840996 0.1364567
500 0.2196 5 1.016635 0.4456107 0.1342901
500 0.2196 5 1.037487 0.4475191 0.1381343
500 0.2196 5 1.029845 0.4093511 0.1348027
500 0.2196 5 1.049426 0.4236641 0.1350589
500 0.2196 5 1.031421 0.4036260 0.1283957
500 0.219 5 1.046219 0.4354067 0.1449424
500 0.219 5 1.030849 0.4200957 0.1280410
500 0.219 5 1.053169 0.4143541 0.1326504
500 0.219 5 1.038951 0.4344498 0.1341869
500 0.219 5 1.024741 0.4229665 0.1270166
500 0.2182 5 1.036150 0.4495677 0.1381427
500 0.2182 5 1.038691 0.4639769 0.1427475
500 0.2182 5 1.014257 0.4332373 0.1348171
500 0.2182 5 1.033607 0.4188280 0.1337938
500 0.2182 5 1.024636 0.4505283 0.1440266
500 0.2194 5 1.031950 0.4584527 0.1509096
500 0.2194 5 1.034268 0.4231137 0.1386113
500 0.2194 5 1.051796 0.4469914 0.1421983
500 0.2194 5 1.026821 0.4326648 0.1421983
500 0.2194 5 1.042347 0.4469914 0.1378427
500 0.3138 5 1.037812 0.4213298 0.1734188
500 0.3138 5 1.045097 0.4634628 0.1839114
500 0.3138 5 1.058128 0.4285714 0.1681725
500 0.3138 5 1.041136 0.4628045 0.1798310
500 0.3138 5 1.037588 0.443713 0.1900321
500 0.3146 5 1.031854 0.4478004 0.1721622
500 0.3146 5 1.027142 0.4491136 0.1739130
500 0.3146 5 1.026425 0.4169402 0.1753720
500 0.3146 5 1.019771 0.432042 0.1736212
500 0.3146 5 1.028723 0.4182534 0.1651590
500 0.3138 5 1.016097 0.4516129 0.1777907
500 0.3138 5 0.999131 0.4325214 0.1652579
500 0.3138 5 1.035810 0.4318631 0.1693384
500 0.3138 5 1.034715 0.4641211 0.1646750
500 0.3138 5 1.053977 0.4325214 0.1748761
500 0.3128 5 1.022256 0.4187583 0.1641444
500 0.3128 5 1.022643 0.4128137 0.1731665
500 0.3128 5 1.031168 0.4412153 0.1682189
500 0.3128 5 1.008131 0.413144 0.169383
500 0.3128 5 1.033271 0.4524439 0.1676368
500 0.3138 5 1.053485 0.4147465 0.1786651
500 0.3138 5 1.037523 0.4239631 0.1812883
500 0.3138 5 1.03261 0.4391047 0.168464
500 0.3138 5 1.035349 0.4325214 0.1681725
500 0.3138 5 1.006469 0.4430546 0.1818712
1000 0.0614 5 1.005617 0.618677 0.1033454
1000 0.0614 5 0.9919169 0.540856 0.1065417
1000 0.0614 5 1.014573 0.6381323 0.09375666
1000 0.0614 5 1.019374 0.6225681 0.1135734
1000 0.0614 5 1.004437 0.5836576 0.104837
1000 0.0612 5 1.013045 0.609375 0.1035364
1000 0.0612 5 1.033104 0.5664062 0.0988496
1000 0.0612 5 0.9980144 0.578125 0.1011930
1000 0.0612 5 1.004737 0.5703125 0.1018321
1000 0.0612 5 1.001324 0.671875 0.1137622
1000 0.0616 5 0.9971099 0.624031 0.1106138
1000 0.0616 5 1.001804 0.5930233 0.1031543
1000 0.0616 5 1.002370 0.631783 0.1027280
1000 0.0616 5 0.987586 0.5658915 0.09100597
1000 0.0616 5 1.007546 0.5581395 0.09782609
1000 0.0614 5 1.014245 0.6225681 0.1012146
1000 0.0614 5 1.001594 0.5603113 0.1033454
1000 0.0614 5 1.010221 0.5992218 0.1193267
1000 0.0614 5 0.9872738 0.614786 0.1095248
1000 0.0614 5 1.011138 0.5564202 0.09652674
1000 0.0618 5 1.012180 0.6332046 0.1172458
1000 0.0618 5 0.9951422 0.5791506 0.1027499
1000 0.0618 5 0.9949996 0.5984556 0.1082925
1000 0.0618 5 1.020200 0.6293436 0.1091452
1000 0.0618 5 0.9922416 0.6293436 0.1078661
1000 0.2188 5 1.023298 0.5967433 0.1825397
1000 0.2188 5 1.011171 0.6101533 0.2025090
1000 0.2188 5 1.000978 0.5977011 0.1861239
1000 0.2188 5 1.027519 0.6388889 0.2027650
