%n density b lambda lse TP FP 
30 0.0612 1000 13 1.481667 0.6308594 0.6088624
30 0.0616 1000 8 1.482421 0.6627907 0.6072038
30 0.0616 1000 9 1.460337 0.618217 0.6102941
30 0.0616 1000 9 1.499849 0.627907 0.5977195
30 0.0616 1000 11 1.561511 0.5755814 0.5991049
30 0.0616 1000 7 1.501165 0.6065891 0.6135976
30 0.0614 1000 7 1.454498 0.651751 0.5980183
30 0.0614 1000 8 1.526738 0.6264591 0.6041977
30 0.0614 1000 7 1.532693 0.6089494 0.6039847
30 0.0614 1000 12 1.544814 0.6400778 0.6003622
30 0.0614 1000 7 1.481515 0.6400778 0.5981249
30 0.0618 1000 7 1.528098 0.6293436 0.602217
30 0.0618 1000 7 1.493150 0.5772201 0.6111703
30 0.0618 1000 9 1.496087 0.5907336 0.6178853
30 0.0618 1000 11 1.512834 0.6216216 0.5933703
30 0.0618 1000 10 1.520895 0.5559846 0.6031763
30 0.0614 200 10 1.432418 0.5797665 0.5340933
30 0.0614 200 10 1.463514 0.5389105 0.5428297
30 0.0614 200 12 1.400547 0.5603113 0.5438952
30 0.0614 200 10 1.438600 0.5330739 0.5312167
30 0.0614 200 10 1.376774 0.5447471 0.539527
30 0.0612 200 11 1.428102 0.5859375 0.5383468
30 0.0612 200 11 1.414323 0.546875 0.5352578
30 0.0612 200 14 1.422929 0.5507812 0.5432467
30 0.0612 200 11 1.408737 0.5351562 0.544951
30 0.0612 200 12 1.435032 0.5234375 0.5399446
30 0.0616 200 13 1.468858 0.5852713 0.5361253
30 0.0616 200 14 1.424220 0.6046512 0.5417732
30 0.0616 200 10 1.437180 0.5426357 0.5354859
30 0.0616 200 11 1.401467 0.5581395 0.5481671
30 0.0616 200 12 1.448005 0.5775194 0.5458227
30 0.0614 200 10 1.459263 0.6089494 0.5360111
30 0.0614 200 10 1.427093 0.6070039 0.5418709
30 0.0614 200 14 1.430366 0.5447471 0.534626
30 0.0614 200 11 1.43901 0.5291829 0.534626
30 0.0614 200 10 1.445488 0.5797665 0.5298317
30 0.0618 200 10 1.449720 0.5656371 0.536133
30 0.0618 200 10 1.401290 0.5637066 0.541036
30 0.0618 200 11 1.378751 0.546332 0.5438073
30 0.0618 200 11 1.385897 0.5637066 0.5340013
30 0.0618 200 11 1.361423 0.5733591 0.5337881
30 0.0614 100 10 1.333919 0.463035 0.4620712
30 0.0614 100 11 1.325809 0.5097276 0.4572768
30 0.0614 100 12 1.381788 0.4435798 0.4466226
30 0.0614 100 13 1.363615 0.5019455 0.4481142
30 0.0614 100 11 1.312723 0.4552529 0.4598338
30 0.0612 100 13 1.362091 0.4960938 0.4484448
30 0.0612 100 13 1.329452 0.4960938 0.4599489
30 0.0612 100 10 1.335433 0.5371094 0.4533447
30 0.0612 100 13 1.338589 0.5 0.4643161
30 0.0612 100 11 1.315718 0.5351562 0.4610141
30 0.0616 100 11 1.359848 0.5426357 0.4567349
30 0.0616 100 13 1.356249 0.4689922 0.4654731
30 0.0616 100 10 1.377598 0.4612403 0.4712276
30 0.0616 100 11 1.325077 0.5271318 0.4662191
30 0.0616 100 11 1.370672 0.4496124 0.4436275
30 0.0614 100 13 1.323545 0.5058366 0.4541871
30 0.0614 100 12 1.316045 0.4902724 0.4519497
30 0.0614 100 11 1.387305 0.4863813 0.4607927
30 0.0614 100 13 1.387836 0.4902724 0.4561048
30 0.0614 100 12 1.329848 0.4708171 0.4494993
30 0.0618 100 11 1.337928 0.4864865 0.4701556
30 0.0618 100 12 1.309865 0.4903475 0.470049
30 0.0618 100 12 1.286882 0.4710425 0.4599233
30 0.0618 100 14 1.327079 0.4285714 0.4623748
30 0.0618 100 10 1.355758 0.4864865 0.465146
30 0.2188 1e+05 1 1.055091 0.0914751 0.07475678
30 0.2188 1e+05 1 1.092299 0.1053640 0.08499744
30 0.2188 1e+05 1 1.083586 0.09099617 0.07795699
30 0.2188 1e+05 1 1.089200 0.09482759 0.07936508
30 0.2188 1e+05 1 1.073415 0.09195402 0.07142857
30 0.2196 1e+05 1 1.114987 0.1135496 0.1004613
30 0.2196 1e+05 1 1.091383 0.1049618 0.08252178
30 0.2196 1e+05 1 1.054435 0.1011450 0.07124552
30 0.2196 1e+05 1 1.097607 0.1326336 0.09123526
30 0.2196 1e+05 1 1.081081 0.1020992 0.08175295
30 0.219 1e+05 1 1.103798 0.1062201 0.0787452
30 0.219 1e+05 1 1.061921 0.1186603 0.08015365
30 0.219 1e+05 1 1.120351 0.1349282 0.09270166
30 0.219 1e+05 1 1.122044 0.1071770 0.08809219
30 0.219 1e+05 1 1.117701 0.09952153 0.07528809
30 0.2182 1e+05 1 1.094174 0.1047070 0.08518803
30 0.2182 1e+05 1 1.125283 0.1027858 0.08007163
30 0.2182 1e+05 1 1.080775 0.07877041 0.07930417
30 0.2182 1e+05 1 1.129471 0.1152738 0.0836531
30 0.2182 1e+05 1 1.085036 0.1162344 0.08595549
30 0.2194 1e+05 1 1.112059 0.1107927 0.08403792
30 0.2194 1e+05 1 1.119538 0.1127030 0.07532667
30 0.2194 1e+05 1 1.122025 0.1098376 0.09172431
30 0.2194 1e+05 1 1.107807 0.1136581 0.08839354
30 0.2194 1e+05 1 1.103973 0.1212989 0.08070715
30 0.2188 20000 12 1.55893 0.5909962 0.5887097
30 0.2188 20000 13 1.612003 0.6245211 0.5873016
30 0.2188 20000 10 1.500936 0.5871648 0.5962622
30 0.2188 20000 9 1.568071 0.6015326 0.5908858
30 0.2188 20000 10 1.549296 0.6010536 0.5979263
30 0.2196 20000 10 1.589345 0.6192748 0.5927729
30 0.2196 20000 9 1.59537 0.591126 0.5917478
30 0.2196 20000 12 1.543378 0.6016221 0.5949513
30 0.2196 20000 9 1.559018 0.6149809 0.5963608
30 0.2196 20000 10 1.549671 0.5944656 0.594695
30 0.219 20000 10 1.506495 0.5904306 0.5982074
30 0.219 20000 10 1.575737 0.6133971 0.5948784
30 0.219 20000 10 1.510296 0.6043062 0.5943662
30 0.219 20000 10 1.589583 0.6248804 0.5951344
30 0.219 20000 12 1.529716 0.607177 0.6005122
30 0.2182 20000 12 1.510611 0.6349664 0.5860834
30 0.2182 20000 11 1.586455 0.610951 0.5958046
30 0.2182 20000 12 1.606888 0.6147935 0.5975953
30 0.2182 20000 9 1.525369 0.5821326 0.6130724
30 0.2182 20000 10 1.552775 0.5970221 0.6115375
30 0.2194 20000 12 1.546887 0.6165234 0.5954394
30 0.2194 20000 9 1.627156 0.5983763 0.5926211
30 0.2194 20000 11 1.486180 0.595511 0.5965924
30 0.2194 20000 9 1.563915 0.6327603 0.5977453
30 0.2194 20000 11 1.574603 0.5921681 0.5969767
30 0.2188 10000 11 1.608205 0.5847701 0.6018945
30 0.2188 10000 10 1.587671 0.5876437 0.59319
30 0.2188 10000 10 1.560090 0.6015326 0.5906298
30 0.2188 10000 11 1.533789 0.6163793 0.5876856
30 0.2188 10000 11 1.55958 0.6015326 0.5954941
30 0.2196 10000 12 1.548969 0.6340649 0.5834188
30 0.2196 10000 12 1.582011 0.5873092 0.5922604
30 0.2196 10000 12 1.548648 0.6025763 0.5905946
30 0.2196 10000 11 1.529529 0.6030534 0.5936699
30 0.2196 10000 12 1.575636 0.5854008 0.6003332
30 0.219 10000 10 1.564457 0.6033493 0.587452
30 0.219 10000 10 1.575746 0.6066986 0.5921895
30 0.219 10000 11 1.562035 0.5976077 0.5820743
30 0.219 10000 10 1.538243 0.5799043 0.5966709
30 0.219 10000 13 1.566177 0.615311 0.5925736
30 0.2182 10000 10 1.564119 0.6119116 0.5897928
30 0.2182 10000 10 1.551407 0.6003842 0.5862113
30 0.2182 10000 10 1.550103 0.6095101 0.588002
30 0.2182 10000 11 1.524915 0.6018252 0.5813507
30 0.2182 10000 10 1.567134 0.5946206 0.599514
30 0.2194 10000 10 1.499890 0.6260745 0.586472
30 0.2194 10000 12 1.558623 0.6007641 0.5894184
30 0.2194 10000 10 1.541845 0.6007641 0.5905714
30 0.2194 10000 10 1.57665 0.5859599 0.5953113
30 0.2194 10000 10 1.541338 0.625597 0.5804509
30 0.2188 2000 11 1.509881 0.6254789 0.6018945
30 0.2188 2000 9 1.535818 0.6302682 0.6024066
30 0.2188 2000 12 1.539119 0.6211686 0.5967742
30 0.2188 2000 12 1.595753 0.6130268 0.6050947
30 0.2188 2000 11 1.508569 0.6154215 0.6020225
30 0.2196 2000 10 1.532443 0.5935115 0.6093029
30 0.2196 2000 9 1.512739 0.6211832 0.6016146
30 0.2196 2000 9 1.541962 0.6145038 0.6076371
30 0.2196 2000 12 1.518712 0.6135496 0.6003332
30 0.2196 2000 9 1.527165 0.6302481 0.6123783
30 0.219 2000 11 1.533264 0.6191388 0.5944942
