%n density b lambda lse TP FP 
30 0.3146 200 11 1.477887 0.564675 0.5372046
30 0.3146 200 13 1.447646 0.5725542 0.5426029
30 0.3138 200 13 1.458060 0.5529954 0.531332
30 0.3138 200 11 1.506598 0.5447663 0.53993
30 0.3138 200 12 1.495173 0.5464121 0.5204022
30 0.3138 200 13 1.498065 0.5664911 0.5428447
30 0.3138 200 11 1.457639 0.5645161 0.5368697
30 0.3128 200 11 1.453772 0.5492074 0.535943
30 0.3128 200 12 1.420654 0.517173 0.5394354
30 0.3128 200 13 1.444286 0.5492074 0.5451106
30 0.3128 200 12 1.504470 0.5449141 0.5371071
30 0.3128 200 10 1.452817 0.5525099 0.5366705
30 0.3138 200 10 1.503781 0.5615537 0.5284174
30 0.3138 200 10 1.433832 0.544108 0.5412416
30 0.3138 200 10 1.501006 0.5470704 0.545905
30 0.3138 200 11 1.466288 0.5516787 0.5460507
30 0.3138 200 10 1.504786 0.5398288 0.5341008
30 0.3138 100 13 1.373472 0.479921 0.4640047
30 0.3138 100 13 1.385008 0.5052666 0.4631303
30 0.3138 100 11 1.353671 0.4865043 0.4622559
30 0.3138 100 13 1.406820 0.4746544 0.463276
30 0.3138 100 11 1.373295 0.4730086 0.4523463
30 0.3146 100 10 1.411771 0.4885095 0.4608987
30 0.3146 100 12 1.376893 0.4885095 0.4741757
30 0.3146 100 11 1.389685 0.4766907 0.467902
30 0.3146 100 10 1.374140 0.4786605 0.4544791
30 0.3146 100 11 1.400571 0.4894944 0.4420776
30 0.3138 100 11 1.395026 0.4743252 0.4532206
30 0.3138 100 12 1.402653 0.4842001 0.4605071
30 0.3138 100 14 1.389122 0.4878209 0.4605071
30 0.3138 100 12 1.388611 0.441738 0.4701253
30 0.3138 100 11 1.386482 0.514154 0.4669193
30 0.3128 100 12 1.367286 0.4828269 0.455326
30 0.3128 100 10 1.376746 0.4778732 0.4687136
30 0.3128 100 11 1.396849 0.484148 0.4492142
30 0.3128 100 12 1.380731 0.48679 0.4448487
30 0.3128 100 11 1.445030 0.4775429 0.4547439
30 0.3138 100 11 1.379501 0.4891376 0.4723113
30 0.3138 100 12 1.363169 0.4858460 0.4485573
30 0.3138 100 11 1.395708 0.4614878 0.4355873
30 0.3138 100 12 1.316794 0.4710336 0.4587584
30 0.3138 100 12 1.391384 0.4914417 0.4575925
50 0.0614 1e+05 1 1.054672 0.2178988 0.1367995
50 0.0614 1e+05 1 1.071292 0.1867704 0.1478798
50 0.0614 1e+05 1 1.085958 0.1906615 0.1459621
50 0.0614 1e+05 1 1.066919 0.2023346 0.1536331
50 0.0614 1e+05 1 1.084064 0.2140078 0.1425527
50 0.0612 1e+05 1 1.085492 0.2734375 0.1561568
50 0.0612 1e+05 1 1.107819 0.1757812 0.1550916
50 0.0612 1e+05 1 1.090529 0.2460938 0.1582872
50 0.0612 1e+05 1 1.097736 0.1796875 0.1581807
50 0.0612 1e+05 1 1.085479 0.2265625 0.1497657
50 0.0616 1e+05 1 1.057024 0.1782946 0.1562234
50 0.0616 1e+05 1 1.103272 0.2558140 0.1416240
50 0.0616 1e+05 1 1.066189 0.1976744 0.1594203
50 0.0616 1e+05 1 1.070181 0.2248062 0.1581415
50 0.0616 1e+05 1 1.068368 0.1434109 0.1459932
50 0.0614 1e+05 1 1.068036 0.2023346 0.1455359
50 0.0614 1e+05 1 1.065371 0.2062257 0.1410612
50 0.0614 1e+05 1 1.090357 0.2023346 0.1472406
50 0.0614 1e+05 1 1.050705 0.1750973 0.1419135
50 0.0614 1e+05 1 1.064979 0.2023346 0.1665246
50 0.0618 1e+05 1 1.075581 0.2277992 0.1545513
50 0.0618 1e+05 1 1.046204 0.2123552 0.1598806
50 0.0618 1e+05 1 1.029268 0.1776062 0.137071
50 0.0618 1e+05 1 1.076114 0.2007722 0.1473033
50 0.0618 1e+05 1 1.062538 0.1737452 0.1300362
50 0.0614 20000 9 2.048782 0.8210117 0.8033241
50 0.0614 20000 12 2.128380 0.8287938 0.8040699
50 0.0614 20000 10 2.085557 0.8501946 0.8087577
50 0.0614 20000 10 2.056067 0.7996109 0.8037503
50 0.0614 20000 12 2.082242 0.8093385 0.7972512
50 0.0612 20000 11 1.984999 0.8359375 0.80049
50 0.0612 20000 9 2.028631 0.8378906 0.8023008
50 0.0612 20000 9 2.088064 0.8144531 0.8025138
50 0.0612 20000 9 2.094503 0.7832031 0.8081594
50 0.0612 20000 9 2.011739 0.8242188 0.8076268
50 0.0616 20000 12 2.036319 0.8410853 0.8012575
50 0.0616 20000 10 2.085508 0.7732558 0.8039216
50 0.0616 20000 9 1.999945 0.7984496 0.8024297
50 0.0616 20000 10 2.079915 0.8275194 0.8039216
50 0.0616 20000 9 2.096244 0.7732558 0.8053069
50 0.0614 20000 12 1.994421 0.803502 0.8025783
50 0.0614 20000 10 2.046441 0.7548638 0.8058811
50 0.0614 20000 10 2.018824 0.8190661 0.8126998
50 0.0614 20000 10 2.128655 0.770428 0.8036437
50 0.0614 20000 13 2.033191 0.811284 0.805455
50 0.0618 20000 12 2.05059 0.8185328 0.8068642
50 0.0618 20000 11 2.09132 0.8185328 0.7979109
50 0.0618 20000 9 2.084424 0.8146718 0.8045193
50 0.0618 20000 10 2.061399 0.8359073 0.8055852
50 0.0618 20000 12 1.963905 0.8436293 0.8061181
50 0.0614 10000 10 2.074311 0.7996109 0.8016194
50 0.0614 10000 11 2.070034 0.7840467 0.8025783
50 0.0614 10000 12 2.109453 0.85214 0.8023652
50 0.0614 10000 12 2.012067 0.7898833 0.795227
50 0.0614 10000 12 2.01473 0.8171206 0.805455
50 0.0612 10000 11 2.127392 0.8027344 0.8059225
50 0.0612 10000 10 2.077514 0.8105469 0.7960162
50 0.0612 10000 10 2.045073 0.8378906 0.8070942
50 0.0612 10000 9 1.973114 0.8203125 0.8014487
50 0.0612 10000 12 2.032150 0.828125 0.8080528
50 0.0616 10000 10 2.044204 0.8139535 0.8043478
50 0.0616 10000 12 2.116456 0.8352713 0.8012575
50 0.0616 10000 9 2.144128 0.8275194 0.801364
50 0.0616 10000 11 2.081014 0.8236434 0.7921995
50 0.0616 10000 12 2.057970 0.7926357 0.7995524
50 0.0614 10000 13 2.050953 0.8229572 0.8040699
50 0.0614 10000 10 2.022347 0.7898833 0.8039633
50 0.0614 10000 12 2.113834 0.8151751 0.8050288
50 0.0614 10000 11 2.152978 0.7645914 0.797784
50 0.0614 10000 10 2.053533 0.8346304 0.8071596
50 0.0618 10000 12 1.942067 0.8146718 0.8046259
50 0.0618 10000 12 2.126272 0.8532819 0.8104882
50 0.0618 10000 10 2.082613 0.7876448 0.7976977
50 0.0618 10000 12 2.060818 0.8185328 0.7972714
50 0.0618 10000 10 2.092443 0.8030888 0.808996
50 0.0614 2000 10 1.951583 0.844358 0.8020456
50 0.0614 2000 11 2.083462 0.807393 0.8077988
50 0.0614 2000 8 1.980646 0.7723735 0.8037503
50 0.0614 2000 8 2.00149 0.85214 0.8040699
50 0.0614 2000 10 1.986839 0.7957198 0.8104624
50 0.0612 2000 9 1.991361 0.78125 0.8109288
50 0.0612 2000 8 2.037984 0.7832031 0.8049638
50 0.0612 2000 9 2.030436 0.7988281 0.8135918
50 0.0612 2000 11 2.013118 0.8261719 0.8014487
50 0.0612 2000 9 1.926560 0.7832031 0.811994
50 0.0616 2000 12 1.986435 0.8003876 0.8044544
50 0.0616 2000 12 2.108964 0.7829457 0.8040281
50 0.0616 2000 12 2.072125 0.8081395 0.8080776
50 0.0616 2000 7 2.050816 0.8081395 0.8044544
50 0.0616 2000 9 1.946111 0.8313953 0.8077579
50 0.0614 2000 9 2.023205 0.8424125 0.8001278
50 0.0614 2000 11 2.011473 0.7957198 0.7970381
50 0.0614 2000 11 1.986354 0.8132296 0.8092904
50 0.0614 2000 9 2.047970 0.7587549 0.8120605
50 0.0614 2000 10 2.079222 0.8501946 0.8053484
50 0.0618 2000 10 2.040485 0.8108108 0.8037732
50 0.0618 2000 10 2.020116 0.8146718 0.8103816
50 0.0618 2000 9 1.967774 0.7683398 0.8125133
50 0.0618 2000 7 2.045834 0.8281853 0.7996163
50 0.0618 2000 11 2.042253 0.7934363 0.8072906
50 0.0614 1000 7 1.843790 0.8190661 0.792883
50 0.0614 1000 6 1.996891 0.7937743 0.7972512
50 0.0614 1000 7 1.941585 0.7684825 0.7854251
50 0.0614 1000 7 1.953357 0.8287938 0.7970381
50 0.0614 1000 6 1.895364 0.7801556 0.7844662
50 0.0612 1000 6 1.934698 0.8125 0.7966553
50 0.0612 1000 6 1.978212 0.8066406 0.8015552
50 0.0612 1000 6 1.935720 0.7871094 0.786749
50 0.0612 1000 7 2.002071 0.8046875 0.7921815
50 0.0612 1000 7 1.864946 0.8164062 0.7993183
50 0.0616 1000 6 2.009456 0.7906977 0.7925192
50 0.0616 1000 9 1.958736 0.7984496 0.7875107
50 0.0616 1000 6 1.97265 0.8275194 0.8002984
50 0.0616 1000 6 1.907549 0.8178295 0.7990196
50 0.0616 1000 6 1.976568 0.8081395 0.8008312
50 0.0614 1000 6 1.921792 0.8054475 0.7944811
50 0.0614 1000 10 1.890216 0.807393 0.7945877
50 0.0614 1000 6 1.973701 0.8287938 0.7994886
50 0.0614 1000 11 1.931679 0.8190661 0.8085446
50 0.0614 1000 6 1.880187 0.8287938 0.8036437
50 0.0618 1000 6 1.975984 0.8359073 0.7982307
50 0.0618 1000 6 1.945651 0.7915058 0.8002558
50 0.0618 1000 7 1.946677 0.7953668 0.7940738
50 0.0618 1000 7 1.969391 0.8146718 0.7908761
50 0.0618 1000 6 2.011266 0.8204633 0.7868258
50 0.0614 200 7 1.666993 0.7140078 0.7037076
50 0.0614 200 13 1.657718 0.7626459 0.707117
50 0.0614 200 11 1.625937 0.6575875 0.6967824
50 0.0614 200 12 1.623124 0.7431907 0.7061581
50 0.0614 200 10 1.666894 0.7412451 0.7037076
50 0.0612 200 13 1.596697 0.7382812 0.6948232
50 0.0612 200 13 1.624056 0.7441406 0.7031317
50 0.0612 200 10 1.607313 0.6875 0.6875799
50 0.0612 200 10 1.565453 0.7382812 0.6985513
50 0.0612 200 11 1.575049 0.7480469 0.7037708
50 0.0616 200 13 1.603434 0.6782946 0.7021526
50 0.0616 200 12 1.59673 0.6782946 0.7017263
50 0.0616 200 11 1.662795 0.7751938 0.7050298
50 0.0616 200 14 1.611706 0.6860465 0.7063086
50 0.0616 200 12 1.655522 0.7054264 0.7048167
50 0.0614 200 13 1.608328 0.7062257 0.7077562
50 0.0614 200 11 1.651778 0.6848249 0.7107394
50 0.0614 200 11 1.599611 0.7626459 0.7131899
50 0.0614 200 10 1.671465 0.7587549 0.7087151
50 0.0614 200 11 1.627412 0.7354086 0.6991264
50 0.0618 200 11 1.596481 0.6756757 0.7011298
50 0.0618 200 12 1.571533 0.6833977 0.7060328
50 0.0618 200 12 1.640829 0.6679537 0.7033682
50 0.0618 200 13 1.623081 0.6988417 0.7074185
50 0.0618 200 13 1.642896 0.7142857 0.6991047
50 0.0614 100 7 1.398200 0.6692607 0.6084594
50 0.0614 100 8 1.393113 0.6031128 0.6017473
50 0.0614 100 7 1.456396 0.6264591 0.606009
50 0.0614 100 6 1.480515 0.6731518 0.5994034
50 0.0614 100 8 1.475738 0.610895 0.6159173
50 0.0612 100 9 1.428538 0.6679688 0.6080102
50 0.0612 100 7 1.462223 0.5703125 0.6074776
50 0.0612 100 8 1.461973 0.6289062 0.5989561
50 0.0612 100 8 1.403001 0.5742188 0.6089689
50 0.0612 100 12 1.439201 0.65625 0.5975714
50 0.0616 100 10 1.423704 0.6550388 0.6020887
50 0.0616 100 8 1.418484 0.6027132 0.6069906
50 0.0616 100 13 1.406536 0.6589147 0.620844
50 0.0616 100 7 1.438553 0.6550388 0.6097613
50 0.0616 100 9 1.456362 0.622093 0.6091219
50 0.0614 100 8 1.442694 0.6731518 0.5987641
50 0.0614 100 12 1.495252 0.6848249 0.6084594
50 0.0614 100 11 1.487188 0.6848249 0.6050501
50 0.0614 100 8 1.489871 0.692607 0.6014277
50 0.0614 100 7 1.419069 0.5758755 0.6071809
50 0.0618 100 8 1.447232 0.6177606 0.6008314
50 0.0618 100 7 1.437665 0.6100386 0.5958218
50 0.0618 100 10 1.445507 0.6988417 0.6130889
50 0.0618 100 13 1.412171 0.5868726 0.6104242
50 0.0618 100 7 1.442380 0.6389961 0.6033895
50 0.2188 1e+05 1 1.101059 0.1896552 0.1528418
50 0.2188 1e+05 1 1.113789 0.2049808 0.1648746
50 0.2188 1e+05 1 1.087242 0.2126437 0.1546339
50 0.2188 1e+05 1 1.081299 0.2528736 0.1646185
50 0.2188 1e+05 1 1.099241 0.2088123 0.1597542
50 0.2196 1e+05 1 1.135987 0.2309160 0.1737570
50 0.2196 1e+05 1 1.114701 0.2041985 0.1640185
50 0.2196 1e+05 1 1.114833 0.1860687 0.1389031
50 0.2196 1e+05 1 1.137468 0.2080153 0.1768324
50 0.2196 1e+05 1 1.086431 0.2137405 0.1624808
50 0.219 1e+05 1 1.107433 0.2200957 0.1618438
50 0.219 1e+05 1 1.119387 0.2172249 0.1710627
50 0.219 1e+05 1 1.132058 0.2248804 0.1784891
50 0.219 1e+05 1 1.115077 0.2105263 0.1444302
50 0.219 1e+05 1 1.120098 0.1952153 0.1549296
50 0.2182 1e+05 1 1.102792 0.2065322 0.1534919
50 0.2182 1e+05 1 1.141551 0.2286263 0.1596316
50 0.2182 1e+05 1 1.117665 0.2074928 0.1548990
50 0.2182 1e+05 1 1.102719 0.1921230 0.1650038
50 0.2182 1e+05 1 1.124282 0.2257445 0.1696086
50 0.2194 1e+05 1 1.126607 0.2406877 0.1542403
50 0.2194 1e+05 1 1.091431 0.2024833 0.1519344
50 0.2194 1e+05 1 1.097293 0.2129895 0.1575711
50 0.2194 1e+05 1 1.153107 0.1948424 0.1721752
50 0.2194 1e+05 1 1.141118 0.2053486 0.1623110
50 0.2188 20000 9 2.038618 0.8194444 0.8064516
50 0.2188 20000 11 2.003461 0.8208812 0.7992832
50 0.2188 20000 9 2.130690 0.8002874 0.7982591
50 0.2188 20000 10 2.051581 0.7974138 0.8024834
50 0.2188 20000 9 2.065680 0.8103448 0.8100358
50 0.2196 20000 10 2.119743 0.8062977 0.800615
50 0.2196 20000 12 2.057991 0.7905534 0.8003588
50 0.2196 20000 12 2.117039 0.7967557 0.8095848
50 0.2196 20000 9 2.105033 0.8349237 0.8085597
50 0.2196 20000 10 2.111731 0.8005725 0.8086879
50 0.219 20000 12 2.122563 0.7956938 0.8020487
50 0.219 20000 10 2.118181 0.8124402 0.8161332
50 0.219 20000 12 2.109995 0.8086124 0.8071703
50 0.219 20000 12 2.083553 0.8205742 0.8080666
50 0.219 20000 11 2.092378 0.8148325 0.8049936
50 0.2182 20000 12 1.997882 0.790586 0.8019954
50 0.2182 20000 11 2.070478 0.821806 0.8077513
50 0.2182 20000 9 2.093567 0.8006724 0.8014838
50 0.2182 20000 12 2.071134 0.8035543 0.8090304
50 0.2182 20000 10 2.012605 0.8208453 0.8058327
50 0.2194 20000 10 2.163723 0.8147087 0.8120676
50 0.2194 20000 12 2.103922 0.7846227 0.8018191
50 0.2194 20000 12 2.089332 0.8151862 0.794517
50 0.2194 20000 11 2.138606 0.7941738 0.7986164
50 0.2194 20000 10 2.095509 0.8170965 0.8020753
50 0.2188 10000 10 2.109944 0.802203 0.797107
50 0.2188 10000 12 2.099389 0.7911877 0.8033794
50 0.2188 10000 12 2.094309 0.795977 0.7991551
50 0.2188 10000 11 2.156255 0.8084291 0.796083
50 0.2188 10000 10 1.980921 0.8314176 0.7999232
50 0.2196 10000 10 2.018892 0.8144084 0.8029216
50 0.2196 10000 10 2.097698 0.8039122 0.8040748
50 0.2196 10000 10 2.013484 0.7919847 0.806125
50 0.2196 10000 12 2.115480 0.8082061 0.8009995
50 0.2196 10000 10 2.067764 0.8263359 0.7984367
50 0.219 10000 10 2.043985 0.8095694 0.7944942
50 0.219 10000 12 2.140902 0.8062201 0.793726
50 0.219 10000 12 2.019809 0.8 0.8035851
50 0.219 10000 11 2.133401 0.7822967 0.8097311
50 0.219 10000 12 2.110988 0.7913876 0.8076825
50 0.2182 10000 13 2.077437 0.8170029 0.7966232
50 0.2182 10000 11 1.991709 0.8025937 0.808135
50 0.2182 10000 11 2.176391 0.7987512 0.8013558
50 0.2182 10000 11 2.073952 0.7929875 0.8021233
50 0.2182 10000 9 2.027501 0.8184438 0.7971348
50 0.2194 10000 10 2.00107 0.8127985 0.8083525
50 0.2194 10000 9 2.100799 0.8199618 0.8050218
50 0.2194 10000 12 2.212763 0.8104107 0.8141173
50 0.2194 10000 10 2.094323 0.7870105 0.796823
50 0.2194 10000 10 2.023421 0.8022923 0.8002818
50 0.2188 2000 9 1.988104 0.7954981 0.8049155
50 0.2188 2000 10 1.978143 0.8295019 0.7996672
50 0.2188 2000 8 1.982850 0.8213602 0.8088838
50 0.2188 2000 9 2.004327 0.8280651 0.8065796
50 0.2188 2000 9 2.048533 0.8141762 0.8042755
50 0.2196 2000 9 1.988645 0.8187023 0.8117632
50 0.2196 2000 10 2.060487 0.826813 0.813429
50 0.2196 2000 9 2.085249 0.807729 0.8080472
50 0.2196 2000 12 2.057741 0.8053435 0.8045874
50 0.2196 2000 9 2.012376 0.8392176 0.7981804
50 0.219 2000 9 2.107357 0.8215311 0.802945
50 0.219 2000 12 1.981699 0.8229665 0.7997439
50 0.219 2000 11 1.998905 0.8066986 0.8025608
50 0.219 2000 9 1.988041 0.8339713 0.8049936
50 0.219 2000 9 1.995719 0.8086124 0.8020487
50 0.2182 2000 12 1.921686 0.8121998 0.7989256
50 0.2182 2000 8 2.041785 0.8198847 0.8063443
50 0.2182 2000 11 1.961773 0.7915466 0.805449
50 0.2182 2000 11 2.057202 0.8121998 0.8063443
50 0.2182 2000 10 1.986599 0.8069164 0.8016117
50 0.2194 2000 9 2.042527 0.8199618 0.8020753
50 0.2194 2000 12 2.027261 0.8056351 0.7987446
50 0.2194 2000 12 1.994802 0.8194842 0.8027159
50 0.2194 2000 8 2.032306 0.8123209 0.8001537
50 0.2194 2000 9 2.040192 0.8070678 0.8006662
50 0.2188 1000 6 1.962074 0.802203 0.7873784
50 0.2188 1000 6 1.926130 0.7744253 0.7877624
50 0.2188 1000 10 1.991493 0.7878352 0.7926267
50 0.2188 1000 6 2.006589 0.8122605 0.7944188
50 0.2188 1000 6 1.943105 0.8194444 0.7894265
50 0.2196 1000 10 2.026144 0.8096374 0.78857
50 0.2196 1000 6 2.020115 0.7819656 0.8003588
50 0.2196 1000 6 1.967258 0.807729 0.7843414
50 0.2196 1000 6 1.95235 0.807729 0.8013839
50 0.2196 1000 10 1.937268 0.8005725 0.794977
50 0.219 1000 8 1.966609 0.8095694 0.7895006
50 0.219 1000 11 1.983776 0.8038278 0.7871959
50 0.219 1000 7 1.969331 0.7861244 0.7921895
50 0.219 1000 6 1.935894 0.7971292 0.7992318
50 0.219 1000 6 1.984997 0.7784689 0.7960307
50 0.2182 1000 6 1.997511 0.79683 0.7881811
50 0.2182 1000 6 1.972099 0.7809798 0.7924021
50 0.2182 1000 10 1.968611 0.790586 0.7872858
50 0.2182 1000 6 1.910154 0.795389 0.785495
50 0.2182 1000 6 1.991644 0.8131604 0.7935533
50 0.2194 1000 6 1.991835 0.8094556 0.7928517
50 0.2194 1000 7 1.905683 0.8042025 0.7891366
50 0.2194 1000 6 1.94316 0.791786 0.8024596
50 0.2194 1000 7 1.976270 0.7999045 0.7919549
50 0.2194 1000 6 1.957781 0.8065903 0.7910582
50 0.2188 200 10 1.679404 0.7294061 0.6966206
50 0.2188 200 10 1.593651 0.7136015 0.6903482
50 0.2188 200 10 1.644221 0.7016284 0.7051971
50 0.2188 200 10 1.651701 0.7193487 0.6985407
50 0.2188 200 11 1.673609 0.7136015 0.7121096
50 0.2196 200 13 1.642152 0.7127863 0.7006663
50 0.2196 200 10 1.622136 0.7137405 0.7063045
50 0.2196 200 10 1.615866 0.711355 0.6855459
50 0.2196 200 12 1.673624 0.7003817 0.6940031
50 0.2196 200 11 1.690586 0.7194656 0.7151461
50 0.219 200 10 1.589567 0.7138756 0.7025608
50 0.219 200 11 1.652939 0.7272727 0.7039693
50 0.219 200 10 1.663979 0.6971292 0.7002561
50 0.219 200 10 1.764073 0.7464115 0.7021767
50 0.219 200 14 1.711785 0.7019139 0.6985915
50 0.2182 200 13 1.626129 0.7411143 0.6904579
50 0.2182 200 13 1.664553 0.696926 0.696086
50 0.2182 200 14 1.628779 0.7103746 0.6977488
50 0.2182 200 11 1.649938 0.7113353 0.6908416
50 0.2182 200 10 1.610621 0.7180596 0.6992837
50 0.2194 200 11 1.615546 0.7015282 0.7058673
50 0.2194 200 13 1.656864 0.713467 0.6938253
50 0.2194 200 7 1.634199 0.7292264 0.7013836
50 0.2194 200 10 1.657392 0.7191977 0.69959
50 0.2194 200 10 1.705261 0.7449857 0.710351
50 0.2188 100 7 1.45418 0.6096743 0.6058628
50 0.2188 100 8 1.495312 0.6264368 0.6040707
50 0.2188 100 7 1.428707 0.6522989 0.6052227
50 0.2188 100 10 1.437801 0.6283525 0.6052227
50 0.2188 100 6 1.454221 0.612069 0.6123912
50 0.2196 100 7 1.514895 0.5944656 0.6216043
50 0.2196 100 6 1.456912 0.6020992 0.601102
50 0.2196 100 7 1.515416 0.6040076 0.6027678
50 0.2196 100 7 1.461340 0.6292939 0.6046899
50 0.2196 100 7 1.471969 0.6245229 0.5998206
50 0.219 100 8 1.491738 0.584689 0.6069142
50 0.219 100 7 1.480305 0.6464115 0.6056338
50 0.219 100 12 1.454433 0.6248804 0.6087068
50 0.219 100 7 1.438740 0.6349282 0.6014085
50 0.219 100 10 1.441410 0.6200957 0.6024328
50 0.2182 100 8 1.427372 0.648415 0.6199795
50 0.2182 100 10 1.433676 0.623439 0.605142
50 0.2182 100 10 1.449200 0.5951009 0.6126887
50 0.2182 100 6 1.465919 0.6143132 0.6055257
50 0.2182 100 13 1.460325 0.6416907 0.595165
50 0.2194 100 7 1.417056 0.63085 0.5996669
50 0.2194 100 7 1.469940 0.6198663 0.6095311
50 0.2194 100 8 1.512055 0.6666667 0.6149116
50 0.2194 100 7 1.492005 0.625597 0.6051755
50 0.2194 100 7 1.442799 0.6628462 0.6179862
50 0.3138 1e+05 1 1.133431 0.2159315 0.1632177
50 0.3138 1e+05 1 1.121624 0.2014483 0.1568056
50 0.3138 1e+05 1 1.146329 0.2179065 0.1579714
50 0.3138 1e+05 1 1.130668 0.1968400 0.1565141
50 0.3138 1e+05 1 1.126469 0.2211982 0.1623433
50 0.3146 1e+05 1 1.166820 0.2107682 0.1645754
50 0.3146 1e+05 1 1.123583 0.2087984 0.1601984
50 0.3146 1e+05 1 1.161107 0.1917269 0.1552378
50 0.3146 1e+05 1 1.142463 0.1976362 0.1742048
50 0.3146 1e+05 1 1.110281 0.1822062 0.1485264
50 0.3138 1e+05 1 1.160519 0.2040816 0.1769164
50 0.3138 1e+05 1 1.095108 0.1961817 0.1655494
50 0.3138 1e+05 1 1.144571 0.2152732 0.1737103
50 0.3138 1e+05 1 1.137925 0.2152732 0.1769164
50 0.3138 1e+05 1 1.135457 0.1961817 0.1652579
50 0.3128 1e+05 1 1.098934 0.2067371 0.1673458
50 0.3128 1e+05 1 1.162926 0.2100396 0.1734575
50 0.3128 1e+05 1 1.135639 0.1961691 0.1606519
50 0.3128 1e+05 1 1.117527 0.1783355 0.1568685
50 0.3128 1e+05 1 1.103624 0.2007926 0.161234
50 0.3138 1e+05 1 1.149364 0.1961817 0.1751676
50 0.3138 1e+05 1 1.140004 0.1843318 0.1719615
50 0.3138 1e+05 1 1.135546 0.2093483 0.1658409
50 0.3138 1e+05 1 1.107725 0.1876234 0.1672982
50 0.3138 1e+05 1 1.153893 0.20079 0.1690469
50 0.3138 20000 9 2.051892 0.8202765 0.807782
50 0.3138 20000 12 2.077327 0.8278473 0.8122996
50 0.3138 20000 11 2.172603 0.8209348 0.7968522
50 0.3138 20000 9 2.088216 0.8054641 0.8069076
50 0.3138 20000 10 2.046358 0.821264 0.7951035
50 0.3146 20000 12 2.038893 0.8112278 0.8039101
50 0.3146 20000 9 2.071224 0.7931714 0.8024511
50 0.3146 20000 12 2.057065 0.790545 0.8037642
50 0.3146 20000 12 2.112587 0.7902167 0.8024511
50 0.3146 20000 9 2.090558 0.80696 0.801138
50 0.3138 20000 9 2.111043 0.8064516 0.8013699
50 0.3138 20000 10 2.018145 0.8140224 0.7994754
50 0.3138 20000 10 2.119952 0.8104016 0.8026814
50 0.3138 20000 10 2.167495 0.817314 0.809385
50 0.3138 20000 12 2.115642 0.8146807 0.8019528
50 0.3128 20000 10 2.120926 0.8005284 0.8047148
50 0.3128 20000 12 2.108370 0.8054822 0.794383
50 0.3128 20000 9 2.040961 0.7919419 0.8073341
50 0.3128 20000 13 2.05462 0.8114267 0.8003492
50 0.3128 20000 12 2.083189 0.8018494 0.7958382
50 0.3138 20000 12 2.121718 0.8008558 0.8020985
50 0.3138 20000 10 2.097829 0.797235 0.8053046
50 0.3138 20000 10 2.051114 0.8166557 0.8051588
50 0.3138 20000 9 2.016283 0.8196182 0.809968
50 0.3138 20000 11 2.115804 0.809085 0.8080734
50 0.3138 10000 11 2.066844 0.8159974 0.796998
50 0.3138 10000 10 2.048015 0.8097433 0.8009327
50 0.3138 10000 9 2.040683 0.8166557 0.8032644
50 0.3138 10000 10 2.102553 0.8370639 0.8096765
50 0.3138 10000 12 2.148393 0.8015142 0.7965608
50 0.3146 10000 12 2.119189 0.8023638 0.7929676
50 0.3146 10000 10 2.079312 0.8108995 0.806974
50 0.3146 10000 12 2.132516 0.7980959 0.8075576
50 0.3146 10000 12 1.986789 0.8076165 0.8001167
50 0.3146 10000 12 2.147243 0.7948129 0.811497
50 0.3138 10000 11 2.048307 0.817314 0.7939376
50 0.3138 10000 10 2.067164 0.7988808 0.8029729
50 0.3138 10000 12 2.092597 0.817314 0.8003498
50 0.3138 10000 10 2.061935 0.8025016 0.7945205
50 0.3138 10000 10 2.124162 0.8048058 0.8048674
50 0.3128 10000 10 2.051860 0.8044914 0.8074796
50 0.3128 10000 9 2.107835 0.8044914 0.7945285
50 0.3128 10000 11 2.133865 0.8153897 0.8020955
50 0.3128 10000 11 2.037660 0.8074637 0.794383
50 0.3128 10000 10 2.032978 0.8015192 0.7936554
50 0.3138 10000 10 2.062149 0.8176432 0.8026814
50 0.3138 10000 10 2.104390 0.8067808 0.8083649
50 0.3138 10000 10 2.033810 0.8061224 0.8106966
50 0.3138 10000 10 1.995549 0.8117182 0.7987467
50 0.3138 10000 10 1.993076 0.8100724 0.800787
50 0.3138 2000 9 2.095088 0.809085 0.8054503
50 0.3138 2000 12 2.023218 0.8304806 0.8054503
50 0.3138 2000 8 1.994469 0.8196182 0.798601
50 0.3138 2000 10 2.042441 0.7988808 0.8067619
50 0.3138 2000 11 1.999539 0.7863726 0.8032644
50 0.3146 2000 9 1.984361 0.8122127 0.7985118
50 0.3146 2000 6 2.033303 0.8194353 0.7963233
50 0.3146 2000 12 1.990611 0.8263296 0.801138
50 0.3146 2000 12 2.052401 0.823375 0.810038
50 0.3146 2000 9 2.046857 0.8164806 0.804202
50 0.3138 2000 10 2.156101 0.7949309 0.8089478
50 0.3138 2000 9 1.989404 0.8215932 0.795395
50 0.3138 2000 9 1.994451 0.8225806 0.8104051
50 0.3138 2000 12 2.094915 0.8186307 0.8106966
50 0.3138 2000 12 2.064483 0.8199473 0.8016613
50 0.3128 2000 12 2.051899 0.7988771 0.8079162
50 0.3128 2000 7 1.974920 0.8025099 0.8166473
50 0.3128 2000 7 1.975132 0.8219947 0.8124272
50 0.3128 2000 10 2.042277 0.8180317 0.8099534
50 0.3128 2000 11 2.045083 0.7988771 0.8023865
